voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
6DzW9xQc8zc.aac,什么叫做五二零零经常转，一次比一次突破，这还是中国话吗？明明每个字我都认识，组合在一起我怎么就不认识了？,1,0,观点表达,非观点表达,Step1：未出现观点标记词/判断主张词/信任劝告词，直接判0。,误判
W-AWRfGm6oU.aac,闺蜜你还怪聪明的嘞，按都不按下。,1,0,观点表达,非观点表达,Step1：未出现观点标记词/判断主张词/信任劝告词，直接判0。,误判
W-AWRfGm6oU.aac,闺蜜你还怪聪明的嘞，按都不按下。,1,0,观点表达,非观点表达,Step1: 未出现观点标记词，直接判0。,误判
8P2t4jsgFoo.aac,叫哥哥太小了，叫叔叔又太老了，叫妈妈性别又不对，你想想你应该叫什么啊，叫哥哥。,0,1,非观点表达,观点表达,含判断词'应该'，给出具体建议（叫哥哥），属规范性主张（Step1-3）,误判
6SQEJHGoYyI.aac,呃叫哥哥太小了，叫叔叔太老了，叫妈妈性格不对，仔细想想你应该叫我什么，叫哥哥。,0,1,非观点表达,观点表达,含判断词'应该'，给出具体建议（叫哥哥），属规范性主张（Step1-3）,误判
107avBWwuJ4.aac,欢迎我啊呸，恭喜我成为尊贵的内测用户，你们好像不可以等后期全网都有吧，告诉了啊，然后你就可以看到一波发两波发。,1,0,观点表达,非观点表达,Step1：未出现观点标记词/判断主张词/信任劝告词，直接判0。,误判
vCJa-K2Q560.aac,嗯一直转圈，仿佛不是自己在操控自己。,1,0,观点表达,非观点表达,Step1：无观点标记词，直接判0。,误判
6ELzi5h0C88.aac,对不起老师我近视三百多度没戴眼镜，并且加上我现场的灯光忽暗给看成了绿色，真的很抱歉当时还没看见你的评论。,1,0,观点表达,非观点表达,Step1：无观点标记词，直接判0。,误判
RSj_TbtNOJA.aac,官方我太爱你了，这个东西我最喜欢了哦官方。,1,0,观点表达,非观点表达,无观点标记词/判断主张词/信任劝告词，按Step1判0,误判
107avBWwuJ4.aac,欢迎我啊呸，恭喜我成为尊贵的内测用户，你们好像不可以等后期全网都有吧，告诉了啊，然后你就可以看到一波发两波发。,1,0,观点表达,非观点表达,Step1：未出现观点标记词/判断主张词/信任劝告词，直接判0。,误判
vCJa-K2Q560.aac,嗯一直转圈，仿佛不是自己在操控自己。,1,0,观点表达,非观点表达,Step1：未出现观点标记词/判断主张词/信任劝告词，直接判0。,误判
