voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
6DzW9xQc8zc.aac,什么叫做五二零零经常转，一次比一次突破，这还是中国话吗？明明每个字我都认识，组合在一起我怎么就不认识了？,1,0,观点表达,非观点表达,Step1：无观点标记词，直接判0。,误判
#NAME?,叫哥哥太小了，叫叔叔太老了，叫妈妈性别又不对，那你应该叫我什么呢？,0,1,非观点表达,观点表达,Step1命中'应该'，Step2有具体判断内容（根据条件推断合适称呼），Step3-5排除，Step6判1。,误判
Tfdj_9iYYOg.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈，性别不对，所以应该叫什么？叫哥哥。,0,1,非观点表达,观点表达,Step1命中“应该”，Step2有具体判断（建议称呼），无排除情况，判1。,误判
ZrDxdqnkpmA.aac,小哥哥太小了，小叔叔太老了，叫妈妈性格不对，仔细想想应该叫我什么，叫哥哥。,0,1,非观点表达,观点表达,出现观点标记词“应该”，后面有具体判断（叫哥哥），形成独立观点（Step1-2）。,误判
5Oq3dNUGQbo.aac,假人，真心很贵贵贵，不要什么都往心里去，没心没肺才能活得不累，真心很贵，你别逢人就给，感情很重，你别轻易卑微。,0,1,非观点表达,观点表达,出现“你别”“不要”等建议词，给出具体人生道理，形成独立判断，判1（Step2）,误判
W-AWRfGm6oU.aac,闺蜜你还怪聪明的嘞，按都不按下。,1,0,观点表达,非观点表达,Step1：未出现观点标记词，直接判0。,误判
1A2o50I8EmM.aac,呃叫哥哥太小了，叫叔叔太老了，叫妈妈性别不对，所以你应该叫我什么，叫哥哥。,0,1,非观点表达,观点表达,出现“应该”标记词，后跟具体建议（叫哥哥），形成独立判断，未排除，判1。,误判
9yVYMCaIAnc.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈性格不对，你想想你应该叫什么，叫哥哥。,0,1,非观点表达,观点表达,出现“应该”标记词，后跟具体建议（叫哥哥），形成独立判断，未排除，判1。,误判
8P2t4jsgFoo.aac,叫哥哥太小了，叫叔叔又太老了，叫妈妈性别又不对，你想想你应该叫什么啊，叫哥哥。,0,1,非观点表达,观点表达,Step1命中'应该'，Step2有具体建议（叫哥哥），Step6无排除，判1,误判
6SQEJHGoYyI.aac,呃叫哥哥太小了，叫叔叔太老了，叫妈妈性格不对，仔细想想你应该叫我什么，叫哥哥。,0,1,非观点表达,观点表达,Step1命中'应该'，Step2有具体建议（叫哥哥），Step6无排除，判1,误判
MDcT9QwT52E.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈性格不对，你想想你应该叫什么？,0,1,非观点表达,观点表达,包含观点标记词“应该”，后面有具体判断（太小、太老、不对），形成独立观点（Step1-2命中）。,误判
CXBGqC6ewmo.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈性别不对，你仔细想想你应该叫我什么？,0,1,非观点表达,观点表达,包含观点标记词“应该”，后面有具体判断（太小、太老、性别不对），形成独立观点（Step1-2命中）。,误判
QxIkPHYpezU.aac,哥哥太小了叫叔叔，太老了叫妈妈，是老婆的你想想你应该叫什么？,0,1,非观点表达,观点表达,包含观点标记词“应该”，后面有具体判断（太小、太老），形成独立观点（Step1-2命中）。,误判
O5qq0BjoIYs.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈性格不对，你想想你应该叫什么？,0,1,非观点表达,观点表达,包含观点标记词“应该”，后面有具体判断（太小、太老、不对），形成独立观点（Step1-2命中）。,误判
107avBWwuJ4.aac,欢迎我啊呸，恭喜我成为尊贵的内测用户，你们好像不可以等后期全网都有吧，告诉了啊，然后你就可以看到一波发两波发。,1,0,观点表达,非观点表达,无观点标记词，根据Step1直接判0,误判
vCJa-K2Q560.aac,嗯一直转圈，仿佛不是自己在操控自己。,1,0,观点表达,非观点表达,无观点标记词，根据Step1直接判0,误判
6ELzi5h0C88.aac,对不起老师我近视三百多度没戴眼镜，并且加上我现场的灯光忽暗给看成了绿色，真的很抱歉当时还没看见你的评论。,1,0,观点表达,非观点表达,无观点标记词，根据Step1直接判0,误判
RSj_TbtNOJA.aac,官方我太爱你了，这个东西我最喜欢了哦官方。,1,0,观点表达,非观点表达,Step1：无观点标记词，属于夸赞/好评，非独立判断。,误判
1n770j8D3zs.aac,闺蜜们，我真的尽力了。,1,0,观点表达,非观点表达,无观点标记词，陈述事实，Step1判0。,误判
XgUfSJx8Wi0.aac,你这个声音肯定夹了呀。,1,0,观点表达,非观点表达,未出现SOP规定的观点标记词，直接判0（Step1）,误判
5bFLIp3Cawg.aac,不是本来就能吗？,1,0,观点表达,非观点表达,Step1：未出现观点标记词，直接判0。纯笑声，无任何判断内容。,误判
3lCJdlp4tWo.aac,呃，这个英语听力的时候，我感觉我自己活到头了，两腿一蹬过去享福去了，老铁们satisfaction。,0,异常,玩梗/搞笑,解析错误,返回结果数量不足（期望20条，实际19条）,API异常
CPL-iTjB08o.aac,兄弟们记住啦，俺对抗路的都是甜妹，你们遇到那个不是甜妹那都不是对抗路知道吗？呃对抗路的妹子全都是那么甜妹啊。,0,1,非观点表达,观点表达,Step1命中劝告词“记住”，Step2有具体判断“对抗路都是甜妹”，形成独立观点，判1。,误判
zbQVnWjggp4.aac,看完之后感觉自己活到头了。,1,0,观点表达,非观点表达,Step1：无观点标记词，主观感受，判0。,误判
EKUah_aUFvM.aac,其实我感觉哪边的人读这个英文都一样吧，Satisfaction.,0,1,非观点表达,观点表达,含观点标记词“其实我感觉”，后跟具体判断（读法一样），属猜测性判断，按Step1-2判1。,误判
ZbTNG3RKrNc.aac,唉呀我去这猫审美还怪高的嘞，还必须得听b box.,1,0,观点表达,非观点表达,出现“必须”但后面是描述行为，无独立判断内容，Step2判0。,误判
P5RUD_26V30.aac,不要叫不要叫这个可能是在内测，就跟之前那个什么火花超过七天的那个专属称称号那个一样，嗯就是再过个一段时间它可能所有人就会有了，这个是在内测的啊。,1,0,观点表达,非观点表达,无观点标记词（“可能”不在列表），Step1直接判0。,误判
CTocVe7oHqU.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈性格不对，你想想你应该叫什么？,0,1,非观点表达,观点表达,Step1命中“应该”，Step2有具体判断（太小、太老、不对），形成独立观点，判1。,误判
