voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
WuXf5Bg1K2o.aac,中奖概率倍儿高，奖品验码倍儿好，手机钞票，奔驰金票，还有大金老停，中奖倍儿低。倍儿高奖品也好，倍儿好，手机钞票，奔驰金枪，还有大金刚完美中。,1,0,搞笑/玩梗,非搞笑/玩梗,内容混乱，疑似ASR错误或模板复读，无明确搞笑结构，判0（高优先规则B）,误判
Uo0_bouLmdY.aac,都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR文本严重错乱，信息量极弱，判0（高优先规则B）,误判
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单叫卖，无搞笑结构，判0,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,简单叫卖，无搞笑结构，判0,误判
6DzW9xQc8zc.aac,什么叫做5200，经常转一次比一次突破。这还是中国话吗？明明每个字我都认识组合在一起，我怎么就不认识了。,1,0,搞笑/玩梗,非搞笑/玩梗,表达困惑吐槽，无反转或搞笑结构，判0,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,信息量极弱，无搞笑结构，判0,误判
FtYuU8GohWs.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令抬令抬抬肥肥胖胖是太阳，鼓鼓囊囊是三缸。风风光光小路上三个吊郎当。一个志向要做栋梁，一个挖空心思经商，一个服务器，好的实在有点太夸张。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似歌词混搭+顺口溜，无明确搞笑结构，难以判定主动制造笑点，判0。,误判
dBuWMoTEe3o.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待命，抬令抬抬鼠牛，功夫高虎兔胆气好。龙在左，蛇在右，马牙匆匆骑来到。猴鸡向着换猪狗来帮忙，哦，不对，搞错狗猪来帮忙。抓打小水晶，刚，抓打小水晶刚。肥肥胖胖是太阳，鼓鼓隆隆是山岗，红红火火小路上三个吊耳郎当。一个对象要做梁，一个研究空心司机舱，一个服务器好的实在有点夸张，呃，他这个。有一些错了，不歉不歉。,1,0,搞笑/玩梗,非搞笑/玩梗,唱歌+自我纠正，核心是演唱而非主动搞笑，判0。,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单重复叫卖，无搞笑意图。,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单重复叫卖，无搞笑结构。,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,搞笑/玩梗,非搞笑/玩梗,无明确搞笑结构，信息量弱，判0。,误判
7m4utLn0EY0.aac,奥特曼飞得慢，飞到凌晨三点半。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则H：短句调侃，仅两句无递进结构，判0。,误判
lsuzExbHzig.aac,卖三明治嘞，卖三明治嘞，走过路过不要错过，看看我们家最近新鲜的三明治。都是自己纯手工打造。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则G：原版广告模板照搬，非二次创作，判0。,误判
GvYkDOcmLSI.aac,sity spection。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则B：ASR乱码，信息量极弱，判0。,误判
mSS-hFtJBB4.aac,棉袄叔叔在练步机。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声依附于简单描述，无具体荒诞场景支撑，判0。,误判
8pryz94qCPM.aac,卖扇贝吃喽，卖扇贝吃喽，看看，哈哈哈哈哈，卖扇贝吃喽。,1,0,搞笑/玩梗,非搞笑/玩梗,Step6：笑声+叫卖，核心是叫卖，笑声为附带情绪，判0。,误判
s5c26pF9vwo.aac,网恋被骗18块，从此分心不再。,1,0,搞笑/玩梗,非搞笑/玩梗,短句自嘲，无连续递进结构，符合高优先规则H，判0。,误判
9-CVoGqwDlc.aac,呃。啊，是关中王来了。点开这颗星，点亮这颗星。哥哥你在哪里？,1,0,搞笑/玩梗,非搞笑/玩梗,信息量弱，无明确搞笑结构，判0。,误判
89bFcIPWNho.aac,哔哔喇叭，我的刀盾。,1,0,搞笑/玩梗,非搞笑/玩梗,短句无连续结构，信息弱，判0。,误判
cpqnl5U8wYU.aac,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,1,0,搞笑/玩梗,非搞笑/玩梗,内容模糊，疑似设备吐槽，无明确搞笑结构，判0。,误判
tTtwjKb_-WE.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令台令台台。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似真实歌词（最炫民族风），ASR偏差，归高优先规则D/I。,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声无语义，无搞笑结构，判0。,误判
QqmwcI18e5I.aac,嗯。嗯嗯，来来来瞧一瞧，看一看了，内蒙古羊肉串，一块钱一串，一块钱一串，买不了吃亏买不了上当。,1,0,搞笑/玩梗,非搞笑/玩梗,原版地摊吆喝模板照搬，归高优先规则G。,误判
FBwkSG38p4s.aac,来三明治，三明治好吃，要钱不好吃也要钱来。,1,0,搞笑/玩梗,非搞笑/玩梗,短句，无明确押韵和荒诞落点，信息量弱，判0。,误判
gps9yYYl4PM.aac,哥哥我摔倒了，原来扶我一下吧，哥哥。哥哥摔倒了，人家摔倒了，快来扶一下吧，饿。,1,0,搞笑/玩梗,非搞笑/玩梗,撒娇式重复，无反转或荒诞落点，判0。,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,核心吐槽语音功能，归高优先规则A。,误判
Nd0yxPcUFGE.aac,哈喽everybody。sorry，我不喜欢女孩，sorry我不会哄男孩。,1,0,搞笑/玩梗,非搞笑/玩梗,短句调侃，无递进结构，信息量弱，判0。,误判
k39sNROxshM.aac,不是干嘛啊，播真的没招了。,1,0,搞笑/玩梗,非搞笑/玩梗,普通抱怨，无搞笑结构，判0。,误判
_vfsP4u1NEE.aac,猜名字，猜名字看一下吧。有点害羞哦，三明治。三明治在睡觉，周末有教室。想买的话可。先把他们。芭蕉香，OK。,1,0,搞笑/玩梗,非搞笑/玩梗,信息量弱，无明确搞笑结构，判0。,误判
2aPG0zZ8h9g.aac,叫哥哥。,1,0,搞笑/玩梗,非搞笑/玩梗,短句无搞笑结构，判0。,误判
RAyAYUOXo3k.aac,我非要去下载玩吃鸡。,1,0,搞笑/玩梗,非搞笑/玩梗,普通叙述，无搞笑意图，判0。,误判
3Y9oElNxNOg.aac,特别神奇，发育音还在唱歌。我听着语音蹦不出了啊。,1,0,搞笑/玩梗,非搞笑/玩梗,命中高优先排除规则A：设备/工具吐槽（变声器发语音唱歌）伴随笑声词，核心意图是吐槽。,误判
s5UeFIGYrH0.aac,着歌变声器发语音还在唱歌，我听着语音绷不住了。,1,0,搞笑/玩梗,非搞笑/玩梗,命中高优先排除规则A：设备/工具吐槽（变声器发语音唱歌）伴随笑声词，核心意图是吐槽。,误判
g2anZjJ8Ds8.aac,别闹叔叔再连夫妻。嗯嗯。,1,0,搞笑/玩梗,非搞笑/玩梗,命中高优先排除规则H：短句调侃，无连续递进结构，信息量弱。,误判
wP5S27PK0JQ.aac,哎呀，哥哥我摔倒了。,1,0,搞笑/玩梗,非搞笑/玩梗,命中高优先排除规则H：短句调侃，无反转或递进结构。,误判
e3N1FYn5My8.aac,真是服了这个KK键盘了，什么恶臭的语音，一说话就开始唱歌。搞得我们同学他们都嫌弃了，好吧，家人们。,1,0,搞笑/玩梗,非搞笑/玩梗,命中高优先排除规则A：设备/工具吐槽（KK键盘）伴随情绪词，核心意图是吐槽。,误判
tpyHh7tAvSE.aac,三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,信息量极弱，无搞笑结构，判0。,误判
XgYO7x1Hf_g.aac,三明治，三明治，新鲜的三明治嘞。,1,0,搞笑/玩梗,非搞笑/玩梗,地摊吆喝原版照搬，符合高优先规则G，判0。,误判
Hft1Wcl2hUQ.aac,嗯。哭完了吗？哭完挂了。,1,0,搞笑/玩梗,非搞笑/玩梗,日常对话，无搞笑意图，判0。,误判
KbdKmoWmk4o.aac,啊去。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义短词，判0。,误判
yRIIdlBvFuE.aac,啊啊。哈哈哈哈。哎。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声笑声字符，无独立语义，命中Step5，判0。,误判
M6qHVQUPsxM.aac,向上向上，向上，向上向上。挣钱。,1,0,搞笑/玩梗,非搞笑/玩梗,口号式鼓励，无搞笑结构，判0。,误判
_NXZPuYEpPI.aac,爱在唱歌。我听着语音封不住了啦。,1,0,搞笑/玩梗,非搞笑/玩梗,设备/工具吐槽（语音封不住），符合高优先规则A，判0。,误判
mxHpBDoHKxQ.aac,啊。,1,0,搞笑/玩梗,非搞笑/玩梗,单个语气词，无意义，判0。,误判
bihK2JCsh8I.aac,我只是摔倒了，又不是摔死了，你凭什么觉得。我爬不起来了呢。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则H：短句自我辩护/反问，无反转结构,误判
_R7zmcVa8Dw.aac,向上向上，向上向上向前是萝莉音，湖北歌就是串通。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则B：ASR文本严重错乱，信息量极弱,误判
urY4wyV80hY.aac,猪猪。我要换奶片喽。,1,0,搞笑/玩梗,非搞笑/玩梗,普通叙述，无搞笑结构,误判
dc_JDqvdHNs.aac,渣渣，发个奶屁给你不，不不，呵呵呵呵呵，死我了。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则H：短句调侃+奇怪动作，无连续递进结构,误判
_nWzwlmNny8.aac,6666。,1,0,搞笑/玩梗,非搞笑/玩梗,纯数字，无搞笑结构,误判
nqOgtgFzzXk.aac,啊啊。OK，可离合呀，好棒。,1,0,搞笑/玩梗,非搞笑/玩梗,语义不连贯，无搞笑结构,误判
jPAboLUxsOk.aac,啊，不出。哇哦哦哦。,1,0,搞笑/玩梗,非搞笑/玩梗,短句无意义，无搞笑结构,误判
T7_9EnjS-gc.aac,中奖概率倍儿高，奖品野马跟儿好。嗯哎，不会唱了。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似广告模板/唱歌，无二次创作，判0,误判
t_kfQBRYYLs.aac,啊。,1,0,搞笑/玩梗,非搞笑/玩梗,单个语气词，无内容,误判
kvOzcj0z_bk.aac,我要烟牌牌没有问题，我给我踩皮鞋。,1,0,搞笑/玩梗,非搞笑/玩梗,语义不清晰，信息量弱，判0,误判
boUawH4KhlI.aac,别闹了。世人难辨不清。,1,0,搞笑/玩梗,非搞笑/玩梗,无搞笑结构，疑似歌词但无改编，判0。,误判
Tf3vo8TsD88.aac,向上向上，向上向上向上向前是俄语音。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR文本信息弱，无搞笑结构，判0。,误判
pR7UHrjc-2E.aac,叫哥哥还是叫老公小调皮，哈哈哈哈哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声词无具体搞笑结构支撑，单句调侃，判0。,误判
ID-7OHrjbkg.aac,我真的着了，有没有人帮帮我真的管不了了。,1,0,搞笑/玩梗,非搞笑/玩梗,无搞笑结构，日常抱怨，判0。,误判
9yVYMCaIAnc.aac,小哥哥太小了。叫叔叔看来了，你妈妈性格不对，你想想。你应该相信吧。,1,0,搞笑/玩梗,非搞笑/玩梗,称呼排除结构不完整，ASR可能错误，无完整搞笑结构，判0。,误判
Z-eDel2fa_g.aac,啊，这可别生气。把语音还在唱歌。我听着语音绷不住的爱。,1,0,搞笑/玩梗,非搞笑/玩梗,设备/功能吐槽，核心是吐槽语音唱歌，归高优先规则A。,误判
tBSLrb3_lTY.aac,向下向下，向下，向下向后上点儿。,1,0,搞笑/玩梗,非搞笑/玩梗,无搞笑结构，指令式内容，判0。,误判
EbLbdphagVE.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,设备/功能吐槽，核心是吐槽对方发语音唱歌，归高优先规则A。,误判
wQP8yhbMpO8.aac,呵，好呵，好，呵呵呵。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声笑声字符，无独立语义，Step5判0。,误判
PEFk2hJhQQE.aac,新疆的猫叫彬彬，他不来不信你听。咪咪咪咪咪咪。调皮给他妈喊过来你听啊。回来啦。,1,0,搞笑/玩梗,非搞笑/玩梗,简单打招呼，无搞笑结构，判0。,误判
xfh2e68kL_k.aac,小萝卜。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似歌词或诗句，无搞笑改编，判0。,误判
7yugIQb-_04.aac,感情里的怪她，有蝴蝶就不敢答。,0,异常,唱歌/朗诵,解析错误,返回结果数量不足（期望20条，实际19条）,API异常
yCdBTl9XNeA.aac,我要烟牌牌没有问题给我擦皮鞋。,1,0,搞笑/玩梗,非搞笑/玩梗,短句无搞笑结构，高优先规则H判0,误判
g1Lv3h8CGp0.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去踩。我忍不住去摘我敞开胸怀，为你等待你抬抬。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似真实歌词（最炫民族风），个别词偏差，高优先规则D/I判0,误判
J5hInoM1Qzc.aac,一开始我也以为他们只是玩个，然后就买了个变声器，结果现在改不回了。,1,0,搞笑/玩梗,非搞笑/玩梗,核心是吐槽变声器设备，高优先排除规则A判0,误判
RAW-bTxAYyk.aac,嗯嗯。,1,0,搞笑/玩梗,非搞笑/玩梗,无语义内容，Step9兜底判0,误判
wc99dTifm6o.aac,啊啊。big。,1,0,搞笑/玩梗,非搞笑/玩梗,信息量极弱，ASR可能错误，Step9判0,误判
mmlLkpLeR98.aac,不能啊。啊。嗯，不能拿。,1,0,搞笑/玩梗,非搞笑/玩梗,简单否定，无搞笑意图，Step9判0,误判
mVCUcqub5x0.aac,三明治，三明治，三明治。今天新的三明治，好吃又好吃，特别好吃，三明治啦。嗨。,1,0,搞笑/玩梗,非搞笑/玩梗,类似叫卖，无反转或搞笑结构，Step9判0,误判
Zw_RxgS0OQQ.aac,什么东西拿回读英语嘞，能开玩笑嘞。city sfection,1,0,搞笑/玩梗,非搞笑/玩梗,ASR文本严重错乱（中英文乱码），高优先排除规则B判0,误判
