voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单叫卖，无搞笑意图，Step9判0。,误判
EL5g0wkN-wc.aac,上一秒我在台北看烟火，下一秒你在上海和某地口。你感觉我就像我感觉你世界上的另一个我，上一秒我在怕你落。大雨下一秒，你在蒙古天气，请你感觉我就像我感受你世界上的。另一个我。,0,1,非搞笑/玩梗,搞笑/玩梗,恶搞改编歌词，将原词篡改为荒诞内容（蒙古天气等），制造反差笑点，命中Step2第6条。,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖广告，无搞笑意图，Step9判0。,误判
6DzW9xQc8zc.aac,什么叫做5200，经常转一次比一次突破。这还是中国话吗？明明每个字我都认识组合在一起，我怎么就不认识了。,1,0,搞笑/玩梗,非搞笑/玩梗,吐槽网络用语，虽有反问但核心是困惑抱怨，无主动制造笑点，Step9判0。,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,文本极短无意义，无搞笑特征，Step9判0。,误判
-u1iZXSM4_M.aac,叫哥哥太小了。叫叔叔太老了。俏猫猫，性别又不对。那你应该叫我什么呢？,1,0,搞笑/玩梗,非搞笑/玩梗,Step2：调侃语气但核心是询问，未命中任何搞笑结构，无笑声词，判0。,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：简单叫卖陈述，无搞笑意图，判0。,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：重复叫卖，无搞笑内容，判0。,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：无意义重复，无明确搞笑结构，判0。,误判
xtMoh9kiRwQ.aac,我去，竟然能发语音了。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2-10：网络流行押韵顺口溜，荒诞反差，主动制造笑点，判1。,误判
7m4utLn0EY0.aac,奥特曼飞得慢，飞到凌晨三点半。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：正常叫卖，无搞笑结构，判0。,误判
lsuzExbHzig.aac,卖三明治嘞，卖三明治嘞，走过路过不要错过，看看我们家最近新鲜的三明治。都是自己纯手工打造。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：无意义英文，无搞笑意图，判0。,误判
GvYkDOcmLSI.aac,sity spection。,1,0,搞笑/玩梗,非搞笑/玩梗,Step7：笑声依附于描述场景，核心是叙述，无主动制造笑点结构，判0。,误判
mSS-hFtJBB4.aac,棉袄叔叔在练步机。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,Step7：笑声依附于叫卖核心意图，非主动制造笑点，判0。,误判
8pryz94qCPM.aac,卖扇贝吃喽，卖扇贝吃喽，看看，哈哈哈哈哈，卖扇贝吃喽。,1,异常,搞笑/玩梗,解析错误,返回结果数量不足（期望20条，实际19条）,API异常
s5c26pF9vwo.aac,网恋被骗18块，从此分心不再。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：简短陈述，无明确搞笑结构或笑声词，拿不准判0。,误判
9-CVoGqwDlc.aac,呃。啊，是关中王来了。点开这颗星，点亮这颗星。哥哥你在哪里？,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：直播互动喊麦，无明确搞笑结构或笑声，判0。,误判
89bFcIPWNho.aac,哔哔喇叭，我的刀盾。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：游戏术语/喊麦，无搞笑结构或意图，判0。,误判
cpqnl5U8wYU.aac,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,1,0,搞笑/玩梗,非搞笑/玩梗,无笑声词、无搞笑结构，仅为普通叙述，Step9兜底判0。,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声字符，无搞笑意图，Step5判0。,误判
QqmwcI18e5I.aac,嗯。嗯嗯，来来来瞧一瞧，看一看了，内蒙古羊肉串，一块钱一串，一块钱一串，买不了吃亏买不了上当。,1,0,搞笑/玩梗,非搞笑/玩梗,模仿叫卖，属于转述/模仿，无主动构造笑点，Step2排除，Step9判0。,误判
FBwkSG38p4s.aac,来三明治，三明治好吃，要钱不好吃也要钱来。,1,0,搞笑/玩梗,非搞笑/玩梗,顺口溜但缺乏明确反转或荒诞，无搞笑结构主导，Step9判0。,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨语气，无搞笑结构，Step9判0。,误判
Nd0yxPcUFGE.aac,哈喽everybody。sorry，我不喜欢女孩，sorry我不会哄男孩。,1,0,搞笑/玩梗,非搞笑/玩梗,无明确搞笑结构，无法识别具体梗，Step9判0。,误判
k39sNROxshM.aac,不是干嘛啊，播真的没招了。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨吐槽，无笑声词，无搞笑结构，Step9兜底判0。,误判
_vfsP4u1NEE.aac,猜名字，猜名字看一下吧。有点害羞哦，三明治。三明治在睡觉，周末有教室。想买的话可。先把他们。芭蕉香，OK。,1,0,搞笑/玩梗,非搞笑/玩梗,内容杂乱，无法明确识别具体梗，无清晰搞笑结构，Step9兜底判0。,误判
2aPG0zZ8h9g.aac,叫哥哥。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无上下文，无搞笑特征，Step9兜底判0。,误判
RAyAYUOXo3k.aac,我非要去下载玩吃鸡。,1,0,搞笑/玩梗,非搞笑/玩梗,普通叙述，无搞笑意图，Step9兜底判0。,误判
3Y9oElNxNOg.aac,特别神奇，发育音还在唱歌。我听着语音蹦不出了啊。,1,0,搞笑/玩梗,非搞笑/玩梗,出现'蹦不出了'但核心是描述现象和自身反应，非主动制造笑点，未命中Step1（缺主动逗乐支撑），Step2无结构，归Step9判0。,误判
s5UeFIGYrH0.aac,着歌变声器发语音还在唱歌，我听着语音绷不住了。,1,0,搞笑/玩梗,非搞笑/玩梗,出现'绷不住了'但核心是描述变声器唱歌现象并表达自身反应，非主动逗乐，未命中Step1，归Step9判0。,误判
RaJlAec9uVM.aac,泪水打湿养浴吧，又麻又辣又想她。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似顺口溜但无法明确识别具体梗，无清晰搞笑结构，归Step9判0。,误判
g2anZjJ8Ds8.aac,别闹叔叔再连夫妻。嗯嗯。,1,0,搞笑/玩梗,非搞笑/玩梗,语义不清，无明确搞笑结构或梗，归Step9判0。,误判
wP5S27PK0JQ.aac,哎呀，哥哥我摔倒了。,1,0,搞笑/玩梗,非搞笑/玩梗,虽为网络梗，但文本仅为转述模仿，无主动构造笑点证据，按Step2排除规则判0。,误判
e3N1FYn5My8.aac,真是服了这个KK键盘了，什么恶臭的语音，一说话就开始唱歌。搞得我们同学他们都嫌弃了，好吧，家人们。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨吐槽，核心意图是表达不满，非主动制造笑点，归Step9判0。,误判
tpyHh7tAvSE.aac,三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无意义，无搞笑特征，归Step9判0。,误判
PKDYZFr5Zlg.aac,我评论区能说话你气不气。,0,1,非搞笑/玩梗,搞笑/玩梗,调侃语气，主动制造娱乐效果，命中Step2-2调侃他人。,误判
XgYO7x1Hf_g.aac,三明治，三明治，新鲜的三明治嘞。,1,0,搞笑/玩梗,非搞笑/玩梗,单纯叫卖模仿，无搞笑结构或笑声，不满足判1规则。,误判
DrlF0LQUaEk.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈性格不对。那我想想应该叫什么呢？,1,0,搞笑/玩梗,非搞笑/玩梗,普通询问称呼，无反转或荒诞，无主动制造笑点。,误判
9nlseitqL7U.aac,居然给你背高在拼什么背好收集钞票，今天还有大金链完没中，咦。嘿嘿，我把我爸的保险姐都输了，那你妈呢，我妈气饱了，拜拜，我的身体会真的太快了。你刚才带我主播呢。,0,1,非搞笑/玩梗,搞笑/玩梗,荒诞叙述（输保险、妈气饱），主动制造笑点，命中Step2-3。,误判
On8IRuSqYgg.aac,叫哥哥太小了。叫叔叔再唠了。叫妈妈性别不对。到底该叫什么呢？,1,0,搞笑/玩梗,非搞笑/玩梗,普通询问称呼，无反转或荒诞，无主动制造笑点。,误判
Hft1Wcl2hUQ.aac,嗯。哭完了吗？哭完挂了。,1,0,搞笑/玩梗,非搞笑/玩梗,简短对话，无笑声或搞笑结构，判0。,误判
KbdKmoWmk4o.aac,啊去。,1,0,搞笑/玩梗,非搞笑/玩梗,简短无意义，无搞笑意图，判0。,误判
yRIIdlBvFuE.aac,啊啊。哈哈哈哈。哎。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声笑声字符，无独立语义，命中Step5排除，判0。,误判
M6qHVQUPsxM.aac,向上向上，向上，向上向上。挣钱。,1,0,搞笑/玩梗,非搞笑/玩梗,口号式重复，无搞笑结构，判0。,误判
_NXZPuYEpPI.aac,爱在唱歌。我听着语音封不住了啦。,1,0,搞笑/玩梗,非搞笑/玩梗,“封不住了”无具体内容支撑，孤立的逗乐核心词，归简短回复判0。,误判
mxHpBDoHKxQ.aac,啊。,1,0,搞笑/玩梗,非搞笑/玩梗,单个字无意义，无搞笑意图，判0。,误判
bihK2JCsh8I.aac,我只是摔倒了，又不是摔死了，你凭什么觉得。我爬不起来了呢。,1,0,搞笑/玩梗,非搞笑/玩梗,Step2：虽有自嘲反转结构，但语气平淡，缺乏夸张荒诞，不满足主动制造笑点条件，判0。,误判
_R7zmcVa8Dw.aac,向上向上，向上向上向前是萝莉音，湖北歌就是串通。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：文本杂乱无意义，无搞笑结构或具体梗，判0。,误判
urY4wyV80hY.aac,猪猪。我要换奶片喽。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：日常对话，无搞笑意图，判0。,误判
dc_JDqvdHNs.aac,渣渣，发个奶屁给你不，不不，呵呵呵呵呵，死我了。,1,0,搞笑/玩梗,非搞笑/玩梗,Step1：'死我了'非标准逗乐短语，且缺乏具体内容支撑，笑声依附于混乱表达，判0。,误判
_nWzwlmNny8.aac,6666。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：网络用语表示厉害，无搞笑结构，判0。,误判
nqOgtgFzzXk.aac,啊啊。OK，可离合呀，好棒。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：无意义感叹，无搞笑结构，判0。,误判
jPAboLUxsOk.aac,啊，不出。哇哦哦哦。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：惊讶语气，无搞笑意图，判0。,误判
t_kfQBRYYLs.aac,啊。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：单字无意义，判0。,误判
kvOzcj0z_bk.aac,我要烟牌牌没有问题，我给我踩皮鞋。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：方言或小孩话，无明确搞笑结构或梗，判0。,误判
boUawH4KhlI.aac,别闹了。世人难辨不清。,1,0,搞笑/玩梗,非搞笑/玩梗,无明确搞笑结构，后半句似感慨，Step9判0。,误判
Tf3vo8TsD88.aac,向上向上，向上向上向上向前是俄语音。,1,0,搞笑/玩梗,非搞笑/玩梗,动作描述，无搞笑结构，Step9判0。,误判
JGpduCwCXc4.aac,在现在特别的日子里，送给你们一首非常特别的歌曲。特别的爱给特别的你来享受一下拖拉机的脸，带给你法拉利的声音，一起来嗨。特别的爱给特别的你，我的寂寞逃不过你的眼睛，特别的爱。特别的你，你让我越来越不相信自己。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第3条：用拖拉机脸与法拉利声音制造荒诞反差，主动搞笑。,误判
pR7UHrjc-2E.aac,叫哥哥还是叫老公小调皮，哈哈哈哈哈哈哈。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第2条：调侃称呼，配合笑声，主动制造笑点。,误判
ID-7OHrjbkg.aac,我真的着了，有没有人帮帮我真的管不了了。,1,0,搞笑/玩梗,非搞笑/玩梗,表达崩溃求助，无搞笑结构，Step9判0。,误判
Z-eDel2fa_g.aac,啊，这可别生气。把语音还在唱歌。我听着语音绷不住的爱。,1,0,搞笑/玩梗,非搞笑/玩梗,Step1：'绷不住'缺乏具体内容支撑，非独立逗乐意图，Step9判0。,误判
tBSLrb3_lTY.aac,向下向下，向下，向下向后上点儿。,1,0,搞笑/玩梗,非搞笑/玩梗,动作指令，无搞笑结构，Step9判0。,误判
EbLbdphagVE.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨吐槽，无搞笑结构，Step9判0。,误判
wQP8yhbMpO8.aac,呵，好呵，好，呵呵呵。,1,0,搞笑/玩梗,非搞笑/玩梗,Step5：纯拟声笑声字符，无独立语义，判0。,误判
PEFk2hJhQQE.aac,新疆的猫叫彬彬，他不来不信你听。咪咪咪咪咪咪。调皮给他妈喊过来你听啊。回来啦。,1,0,搞笑/玩梗,非搞笑/玩梗,叙述模仿猫叫，无明确搞笑结构，Step9判0。,误判
xfh2e68kL_k.aac,小萝卜。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无特征，Step9判0。,误判
yCdBTl9XNeA.aac,我要烟牌牌没有问题给我擦皮鞋。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：无明确搞笑结构，无法识别具体梗，兜底判0。,误判
J5hInoM1Qzc.aac,一开始我也以为他们只是玩个，然后就买了个变声器，结果现在改不回了。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：单纯叙述事件，无主动制造笑点。,误判
RAW-bTxAYyk.aac,嗯嗯。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：极简短回应，无特征。,误判
wc99dTifm6o.aac,啊啊。big。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：无意义短句，无搞笑意图。,误判
mmlLkpLeR98.aac,不能啊。啊。嗯，不能拿。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：普通对话，无搞笑意图。,误判
mVCUcqub5x0.aac,三明治，三明治，三明治。今天新的三明治，好吃又好吃，特别好吃，三明治啦。嗨。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：叫卖式重复，无主动制造笑点。,误判
Zw_RxgS0OQQ.aac,什么东西拿回读英语嘞，能开玩笑嘞。city sfection,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：吐槽+乱语，无明确搞笑结构。,误判
uubC3Z4QgEg.aac,电脑叔叔在拉屎。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：陈述荒诞事实，但无主动构造笑点证据，判0。,误判
gH6Rw9pr7Pk.aac,别闹，我在玩和平精英。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：普通回应，无搞笑意图。,误判
MGF9FVr9Sqs.aac,怎么都开始挑战这个熊东西了。有什么好挑战的，我靠了兄弟set is vection。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9：吐槽+乱语，无明确搞笑结构。,误判
EqXGPuULt68.aac,妈妈31岁。11岁又健康的31岁谁要买给我直播间拉倒。,1,0,搞笑/玩梗,非搞笑/玩梗,内容混乱，无明确搞笑结构或笑声词，Step9判0。,误判
iENRM428CCw.aac,city sfiction,1,0,搞笑/玩梗,非搞笑/玩梗,仅两个词，无上下文，无搞笑特征，Step9判0。,误判
0WfrHFdnXdY.aac,啊。啊啊。啊啊嘿。啊哈嘿。啊嘿。诶诶诶。你人节快乐。一道道的沟沟。抖音道道亮。,1,0,搞笑/玩梗,非搞笑/玩梗,拟声词+杂乱内容，无明确搞笑结构，Step9判0。,误判
3rdkZRqs3yI.aac,啊啊啊。啊。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声，无语义，Step5判0。,误判
S56THLPagNw.aac,哈哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,纯笑声无其他内容，Step5判0。,误判
4mHqKHKmQP4.aac,向下向下，向下，向下向下向前。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义重复，无搞笑结构，判0。,误判
Rx8xhqNaPF0.aac,浑沌眯一捂。鱼条一根。当你把这个倒头鱼条往脚米里面一泼。秦茂明渡过前后。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR文本混乱，无明确搞笑意图或结构，判0。,误判
kuCSzqcbgpA.aac,我现在用最简单最直白，最不绕弯子的话告诉你我没绷住。,1,0,搞笑/玩梗,非搞笑/玩梗,出现“没绷住”但缺乏具体内容支撑，仅为宣告，按Step1判0。,误判
jVEWUkQ_AVg.aac,为什么我下载了这个现在说话都是唱歌的，我真的绷不住了，我卸载了都还搁那唱。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step1：有具体内容支撑的“绷不住了”，描述荒诞bug，主动逗乐。,误判
rOoKUVoKUg4.aac,你是绝对温满村。你以为你保护的那些村货。我发现不了吗？看到我。,1,0,搞笑/玩梗,非搞笑/玩梗,无法明确识别具体梗或搞笑结构，判0。,误判
GpYgsg-zXhE.aac,再见吧撒，再见吧撒，再见吧撒，再见吧撒，再见吧撒。带紧摸杀仙女摸手这么久了，仙女点位不对，姐妹摸手摸发。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR文本混乱，无明确搞笑结构或梗，判0。,误判
dTSTYFD7Cdo.aac,姐姐于静香，哪有你的余静香鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼亲吻亲吻，亲吻亲吻。,1,0,搞笑/玩梗,非搞笑/玩梗,文本混乱，无法明确识别具体梗或搞笑结构，模糊感觉不足以判1（Step2第11条+Step9）,误判
q1tgXl8Yg7E.aac,鹅鹅鹅。,1,0,搞笑/玩梗,非搞笑/玩梗,仅拟声词，无独立语义和搞笑意图（Step5排除）,误判
BzOScGQuv7Y.aac,炸一炸摇一摇，校长看到。,1,0,搞笑/玩梗,非搞笑/玩梗,简短无上下文，无法判断是否为搞笑结构，倾向判0（Step9）,误判
_rYpvT-_zCA.aac,我也会飞。哎。,1,0,搞笑/玩梗,非搞笑/玩梗,简短自述，无具体内容支撑搞笑意图（Step9）,误判
5uKuX8BYsdA.aac,哎。,1,0,搞笑/玩梗,非搞笑/玩梗,单字无意义，无搞笑意图（Step9）,误判
fJoBIiU2g1g.aac,sless fixtion。,1,0,搞笑/玩梗,非搞笑/玩梗,英文无意义，无搞笑意图（Step9）,误判
SL_Kgd1uyU0.aac,这是是我的的。你是该。,1,0,搞笑/玩梗,非搞笑/玩梗,文本无意义，无搞笑意图，判0。,误判
mc3z_3lp5RQ.aac,你点开的那一刻你已经输了，其实我不一场知道吗？你点开那一刻我就是想骗你。什么当恩怨歌一般不一般，我不会唱。,1,0,搞笑/玩梗,非搞笑/玩梗,自述式内容，无明确搞笑结构或笑声词，未命中规则。,误判
c5yLFxeDOyA.aac,艾玛这个我也会呀，相上相上，相上向前是萝莉音，湖北哥就是伤头。,1,0,搞笑/玩梗,非搞笑/玩梗,内容模糊，无法明确识别具体梗，无搞笑结构支撑，判0。,误判
E4Gd7VNInTI.aac,笨妈妈。,1,0,搞笑/玩梗,非搞笑/玩梗,简短称呼，无上下文，无搞笑意图。,误判
YVLFotCWrRg.aac,哈哈哈哈哈哈。哈哈哈哈哈。我不行了。,1,0,搞笑/玩梗,非搞笑/玩梗,纯笑声+简短感叹，缺乏具体内容支撑，按Step1/5判0。,误判
a0kcMt2bDZQ.aac,大家好，我是面糖。,1,0,搞笑/玩梗,非搞笑/玩梗,简单自我介绍，无搞笑意图。,误判
O5Ks6pAYJKE.aac,胡萝卜。,1,0,搞笑/玩梗,非搞笑/玩梗,单个词，无上下文，无搞笑意图。,误判
PGUaGMG7CiA.aac,当恩怨各一半，我怎么圈揽，看灯笼血红染。寻仇已太晚，月下门童回叹。作业太平常了。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2-3：歌词后接“作业太平常了”形成荒诞反转，主动制造笑点。,误判
uWAzvgqUoNY.aac,我只是摔倒了。又不是摔死了。你凭什么觉得我爬不起来。,1,0,搞笑/玩梗,非搞笑/玩梗,表达不服气，无笑声词、无明确搞笑结构，非主动制造笑点。,误判
Y89xUwyDUzc.aac,a lot。我是青蛇。,1,0,搞笑/玩梗,非搞笑/玩梗,简短无上下文，无法明确识别具体梗，无搞笑结构。,误判
d0kq-VCKm-A.aac,浇面油油条一个。当你把这个刀面油条往烫去一泡。咦。这个味道你拿三百六一个狙把子都不丢。,1,0,搞笑/玩梗,非搞笑/玩梗,描述烹饪，无笑声词、无明确搞笑结构，核心意图非逗乐。,误判
XsjSZqENbis.aac,巅峰的三个大佬，叶远龙已经死去，秋风正跪在地上，我有雨乘飞依然站着。秋风的这一跪代表着羽成飞的时代，终于来到职业是北园，是城南地区内最乱的学校，从未有任何一人能真正的把职院的势力统一。可是今天羽城非所。,1,0,搞笑/玩梗,非搞笑/玩梗,小说式叙述，无笑声词、无搞笑结构，非主动制造笑点。,误判
L7Cl0AGB3Lw.aac,新疆猫叫咪咪，他不来。你听咪咪咪咪咪。叫死皮克，马上过来，哎贴。speak speak。来撕这个，来跳个舞，撕开撕开撕开撕开撕开撕开。啊。,1,0,搞笑/玩梗,非搞笑/玩梗,模仿猫叫和英语，但无法明确识别具体梗，依据不足，倾向判0。,误判
ZglP2V63tbw.aac,别闹叔叔会飞。不浪不浪，不浪，不浪不浪。,1,0,搞笑/玩梗,非搞笑/玩梗,无法明确识别具体梗，无清晰搞笑结构，依据不足判0。,误判
HNFn25ZHSdk.aac,啊。求求求你。,1,0,搞笑/玩梗,非搞笑/玩梗,简短无上下文，无搞笑意图，归为简短回应。,误判
dIWQR6uDzS4.aac,不再依赖哥哥孙长大吗？可没用。哥希望你能一直也爱我。,1,0,搞笑/玩梗,非搞笑/玩梗,歌词/叙述，无搞笑结构。,误判
FP0Bm8FqK6g.aac,泪水打湿数据线。一边流泪一边垫了擦头发。,1,0,搞笑/玩梗,非搞笑/玩梗,虽有荒诞感，但无法明确识别具体梗，依据不足，倾向判0。,误判
tkT4fF7C5k4.aac,来个家伙，我是面瘫。,1,0,搞笑/玩梗,非搞笑/玩梗,无明确搞笑结构，无法识别具体梗，依据不足判0。,误判
iaiJn83qvJE.aac,say disfection。,1,0,搞笑/玩梗,非搞笑/玩梗,无明确搞笑结构或梗，无法识别具体出处，按Step9兜底判0。,误判
HrR6HmmZmnk.aac,周娘给你分儿个枪，匹马奔儿啊，手机上不了奔驰，今天还有那些拿。,1,0,搞笑/玩梗,非搞笑/玩梗,内容杂乱无明确搞笑结构，无笑声词或梗，按Step9判0。,误判
mQokJ4Qtqtg.aac,奥特曼就奥特曼变身，奥特曼去挣100万。,1,0,搞笑/玩梗,非搞笑/玩梗,有荒诞感但无法明确识别具体梗，无笑声词，按Step2第11条及Step9判0。,误判
7pKY7Ifz-qo.aac,让小伙子看到你在耍我的卡路里，在耍我的卡路里。嘿嘿，这是我不离的要求，我这一辈子都没结果。,1,0,搞笑/玩梗,非搞笑/玩梗,有笑声词但核心意图似唱歌/改编，笑声依附于其他意图，按Step7判0。,误判
QxIkPHYpezU.aac,哥哥太小了，人叫叔叔，太老了，人叫妈妈，是的，哥哥很小小。你应该叫的什么？,1,0,搞笑/玩梗,非搞笑/玩梗,简单称呼，无上下文，无搞笑结构，按Step9判0。,误判
xPwRlXWUTmg.aac,白娘娘。,1,0,搞笑/玩梗,非搞笑/玩梗,经典歌词，无搞笑意图，按Step9判0。,误判
HH0PnHcI5_w.aac,特别的爱给特别的你。,1,0,搞笑/玩梗,非搞笑/玩梗,前半句吐槽但后续为歌词，核心意图是唱歌/朗诵，非主动搞笑，按Step7/9判0。,误判
6sz7D8yA6yE.aac,没有啊，没有啊，你的声音也很好听啊，不要动作，不要动作。不要自卑了，OK。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step3：不满词+笑声词共存，以笑为主导，表达好笑到肚子疼。,误判
x5XSr0H-p5E.aac,卧槽，笑了，我肚子疼。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第9条：称呼/身份玩梗，荒诞搭配制造笑点。,误判
O5qq0BjoIYs.aac,叫哥哥太小了。叫叔叔太懒了，叫妈妈性感。你小傻你应该叫什么？,1,异常,玩梗/搞笑,解析错误,返回结果数量不足（期望20条，实际19条）,API异常
N2C930IcF9o.aac,想要问问你敢不敢。像你傻子。,0,1,非搞笑/玩梗,搞笑/玩梗,恶搞改编歌词（《为爱痴狂》），后半句“像你傻子”制造荒诞效果，命中Step2第6条。,误判
q1LMS2KO4CM.aac,我也有语音，但是我这个声音好小学生啊，我真没招了。,0,1,非搞笑/玩梗,搞笑/玩梗,自嘲式反转，自我调侃声音像小学生，命中Step2第1条。,误判
AMTXknhM8lo.aac,各位诸天的游子系统已经发放。请查收。,1,0,搞笑/玩梗,非搞笑/玩梗,类似通知语气，无法明确识别具体梗，无搞笑结构，Step9判0。,误判
pkUeZY3PncM.aac,别闹。鼠鼠会飞。哼哼哼哼。,1,0,搞笑/玩梗,非搞笑/玩梗,简短，无明确搞笑结构，Step9判0。,误判
J-WwgFY7Xzk.aac,这歌变声器发语音还在唱歌，我听着语音绷不住了。,0,1,非搞笑/玩梗,搞笑/玩梗,出现“绷不住了”且有具体内容支撑（听变声器唱歌觉得好笑），命中Step1。,误判
5OuMQRjFgGY.aac,不再依赖姐姐算长大吗？,1,0,搞笑/玩梗,非搞笑/玩梗,普通疑问句，无搞笑结构，Step9判0。,误判
u5Mi8lltbYs.aac,朱迪为什么我接不了电话呀，朱迪，哎，急死我了，哎朱迪，朱迪，我接不了电话呀，朱迪。急死我了，哎呀哎呀。,1,0,搞笑/玩梗,非搞笑/玩梗,模仿动画角色但仅为重复着急，无搞笑结构，Step9判0。,误判
MaHBDHrllAc.aac,呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呀呵呀。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声笑声，无独立语义，命中Step5判0。,误判
H95ygvPKPb4.aac,为什么这个可以发语音。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第11条：能明确识别出'为什么这个可以发语音'是经典网络梗，用于调侃文字有声音。,误判
5gflbkC47nk.aac,恰。踩着我脚啦。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：抱怨提醒，无搞笑意图，属于普通叙述。,误判
