voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
PRLplqURlTY.aac,要不然我们小时候炒过韭菜，做过茄汁儿，三分你做三分我炒菜热气腾腾。,1,0,社交互动,非社交互动,Step1：无社交召唤词，叙述回忆。,误判
oueJhIfD8p4.aac,,1,0,社交互动,非社交互动,ASR为空，无社交内容，判0。,误判
kGyf8mVj9Zw.aac,啊啊啊啊啊不能再说。,1,0,社交互动,非社交互动,无社交相关词汇，Step1未命中，判0。,误判
RWanLryDO3s.aac,Ok呀宝子，看起来也只能我一个人能发语音了。,1,0,社交互动,非社交互动,对发语音功能的感慨，非社交邀约，判0,误判
BX03yC2igos.aac,你不是会弄吗？,1,0,社交互动,非社交互动,质问语气，无社交请求，判0,误判
bcI1Ko2vpl0.aac,姐姐分个两批给你，不不不不不不不。,1,0,社交互动,非社交互动,无具体社交请求，可能玩梗，判0,误判
oTCOOdoh0M4.aac,啊所以呢，哭完了吗？哭完我挂了。,1,0,社交互动,非社交互动,对话语气但无社交请求，判0,误判
r7PPYzKb8Jc.aac,我从来都没会输。,1,0,社交互动,非社交互动,简单陈述，无社交词汇，判0,误判
6iP_L59aEco.aac,我去我去快手竟然可以发语音了，谁来跟我语音聊天呀。,0,1,非社交互动,社交互动,前半句功能惊呼，但后半句明确发起语音聊天邀请，有具体对象和形式，Step6判1。,误判
UPRW6eTotgY.aac,为什么没有台湾的人发音让我听一听啊，感觉很可爱诶。,1,0,社交互动,非社交互动,无社交相关词汇，对地域口音的好奇。,误判
ExyAuoUAGzA.aac,其实我也是这样想的，然后我朋友的他们更新了还是没有。,1,0,社交互动,非社交互动,无社交相关词汇，讨论功能，Step 1 判0,误判
QT0LycjhE1Y.aac,我有诶我有诶。,1,0,社交互动,非社交互动,无社交相关词汇，Step1未命中，判0。,误判
vABGYtjuYhc.aac,嘿嘿嘿，我自己，嗯嘿嘿嘿嘿嘿，嗯啥子。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，直接判0。,误判
YM6aE6Z7-_Y.aac,我竟然是第一个。,1,0,社交互动,非社交互动,无社交相关词汇，感叹，Step1判0。,误判
9BPmxsbcChw.aac,我昨天给你发语音，你看发一下呗，你这。,1,0,社交互动,非社交互动,Step1无社交相关词汇，核心是催促对方发语音，非社交互动。,误判
U-nySOB2j1Q.aac,666居然敢到处发语音被我抓到了。,1,0,社交互动,非社交互动,Step1无社交相关词汇，调侃语气，非社交互动。,误判
wn5SphEKWDQ.aac,就是我的声音不太好，请你们不要喷，我说这个棋回不去了。他这个在等我，我一天刷到十底球。好几十条差不多50多条，然后还是连续的，我真不行了。然后的话它这个。希望不要喷，我就是想说一下。,1,0,社交互动,非社交互动,Step1无社交相关词汇，核心是解释和请求不要喷，非社交互动。,误判
Gj_svf8pf_8.aac,已确认收到偶尔偶尔。,1,0,社交互动,非社交互动,Step1无社交相关词汇，无意义回应，非社交互动。,误判
