voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
Dwk6fA7eg1M.aac,哈喽哈喽，队友有麦打不打？,0,1,非社交互动,社交互动,Step5：说话人向队友发起具体组队/一起玩的邀请，对象和形式明确。,误判
gps9yYYl4PM.aac,呃哥哥我摔倒了，下来扶我一下吧哥哥，呃哥哥我摔倒了，人家摔倒了，快来扶一下吧，呃。,0,1,非社交互动,社交互动,Step5：说话人向具体对象（哥哥）发起具体互动请求（扶我），核心是建立/深化关系。,误判
aPIeScdQ9yg.aac,哈喽哈喽，队友有麦打不打呀？,0,1,非社交互动,社交互动,Step5：向队友发起具体组队游戏邀请（打不打），核心是邀约互动。,误判
PRLplqURlTY.aac,要不然我们小时候炒过韭菜，做过茄汁儿，三分你做三分我炒菜热气腾腾。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，直接判0。,误判
oueJhIfD8p4.aac,,1,0,社交互动,非社交互动,Step1：文本为空，无社交相关词汇，直接判0。,误判
1ah-UOo0eEA.aac,我靠我声音好难听啊，让我听听你们萌妹子的声音吧，让我羡慕羡慕。,1,0,社交互动,非社交互动,Step1：无明确社交相关词汇（“让我听听”不在列表），直接判0。,误判
kGyf8mVj9Zw.aac,啊啊啊啊啊不能再说。,1,0,社交互动,非社交互动,无社交词，情绪发泄，Step1判0。,误判
RWanLryDO3s.aac,Ok呀宝子，看起来也只能我一个人能发语音了。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，直接判0。,误判
SkcMIboQxlA.aac,三明治三明治。,1,0,社交互动,非社交互动,Step1无社交相关词，判0,误判
BX03yC2igos.aac,你不是会弄吗？,1,0,社交互动,非社交互动,Step1无社交相关词，判0,误判
bcI1Ko2vpl0.aac,姐姐分个两批给你，不不不不不不不。,1,0,社交互动,非社交互动,Step1无社交相关词，判0,误判
7CEtrysJbgw.aac,你们可以支持一下新作品吗啊？,0,1,非社交互动,社交互动,Step1出现互动请求词“支持一下新作品”，Step5核心为求互动，判1,误判
oTCOOdoh0M4.aac,啊所以呢，哭完了吗？哭完我挂了。,1,0,社交互动,非社交互动,Step1无社交相关词，判0,误判
r7PPYzKb8Jc.aac,我从来都没会输。,1,0,社交互动,非社交互动,Step1无社交相关词，判0,误判
2IaCELoBUww.aac,来个肘子，我是辣条。,1,0,社交互动,非社交互动,未出现社交相关词汇，根据Step1直接判0。,误判
Ll0BwCg2aks.aac,姐姐放个奶片给你，不不不不不。,1,0,社交互动,非社交互动,未出现社交相关词汇，根据Step1直接判0。,误判
RGXJL-svv0M.aac,来个正太，我是扭腰。,1,0,社交互动,非社交互动,Step1：未出现明确社交召唤词，且对象不具体，拿不准判0。,误判
6iP_L59aEco.aac,我去我去快手竟然可以发语音了，谁来跟我语音聊天呀。,0,1,非社交互动,社交互动,Step1命中社交邀请短语“谁来跟我语音聊天”；Step5核心是说话人发起具体互动请求，判1。,误判
K01yNJPMPs8.aac,哈喽哈喽，队友有麦打不打呀？不打拉倒。知道爱你没有结局，痴心妄想你会给我甜蜜，有心无力遥不可及，一切幻想写入了歌里。,0,1,非社交互动,社交互动,出现社交召唤词“队友有麦打不打”，核心是发起游戏组队邀请，对象和形式明确，判1（Step5）。,误判
UPRW6eTotgY.aac,为什么没有台湾的人发音让我听一听啊，感觉很可爱诶。,1,0,社交互动,非社交互动,Step1：未出现社交相关词汇，直接判0。,误判
XxZ1-Wmepus.aac,哈喽哈喽，队友有麦打不打？,0,1,非社交互动,社交互动,Step1命中社交召唤词（打不打），Step5确认核心是发起组队互动，对象和形式具体明确。,误判
ExyAuoUAGzA.aac,其实我也是这样想的，然后我朋友的他们更新了还是没有。,1,0,社交互动,非社交互动,Step1无社交相关词汇，判0。,误判
vAK6ggXxyVY.aac,哦在这特别的日子里怎么办我唱不来呀。,1,0,社交互动,非社交互动,Step1无社交相关词汇，抒发情绪，无具体请求，判0。,误判
3GKhUkfhh0c.aac,宝贝开心一点。,1,0,社交互动,非社交互动,Step1无社交相关词汇，核心是安慰情绪，非社交请求，判0。,误判
nYwMmbOLpWM.aac,算姐姐没用。,1,0,社交互动,非社交互动,无社交相关词汇，直接判0（Step1）。,误判
QT0LycjhE1Y.aac,我有诶我有诶。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，直接判0。,误判
vABGYtjuYhc.aac,嘿嘿嘿，我自己，嗯嘿嘿嘿嘿嘿，嗯啥子。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，自娱自乐，非社交请求。,误判
tddSFrrh6o0.aac,啊来个福，我是瑞。,1,0,社交互动,非社交互动,无社交相关词汇，Step1判0。,误判
YM6aE6Z7-_Y.aac,我竟然是第一个。,1,0,社交互动,非社交互动,无社交相关词汇，Step1判0。,误判
D9E02Q60Ipo.aac,拍王者段子有人吗？,0,1,非社交互动,社交互动,Step1命中“有人吗”（组队邀请），Step2-4排除，Step5核心是发起具体社交请求，判1。,误判
9BPmxsbcChw.aac,我昨天给你发语音，你看发一下呗，你这。,1,0,社交互动,非社交互动,Step1: 未出现社交相关词汇，直接判0。,误判
U-nySOB2j1Q.aac,666居然敢到处发语音被我抓到了。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，且核心是叙述他人行为，判0。,误判
wn5SphEKWDQ.aac,就是我的声音不太好，请你们不要喷，我说这个棋回不去了。他这个在等我，我一天刷到十底球。好几十条差不多50多条，然后还是连续的，我真不行了。然后的话它这个。希望不要喷，我就是想说一下。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
Gj_svf8pf_8.aac,已确认收到偶尔偶尔。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
rcgiC0h9nDc.aac,有了呀。你们没有吗？,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
hJSd2Eobqzg.aac,我真不行，你自己看看硬不硬。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
U7330UHwfN4.aac,快手也是终于可以说话了呀，我丢。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
BaQYJyi38U8.aac,来个嫂子，我是我哥。,1,0,社交互动,非社交互动,Step1: 未出现社交召唤词列表中的词汇，判0。,误判
Y-XocmQUA9g.aac,city swection,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
AF0khgaiR-w.aac,那个我是忠实啊，来个瑶妹，我带飞了。,1,0,社交互动,非社交互动,Step1: 未出现列表中的社交召唤词（如cpdd、组队等），判0。,误判
7kvMLyJHH5w.aac,等会吃个火鸡面把你辣死。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
sn_nQqluFNo.aac,我寻思我也没口音呐。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
H_0TV68nnBA.aac,我丢我丢走，那么儿子都变不回来了吗？但是我都不是呀，队友你们不要听了。我的是这才语音啊。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
VNhd3PukIHQ.aac,可以可以现实人不错，好吧，押金已经到手了啊，一切都太突然了。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
O1oWzJWqdU4.aac,我靠，我都不知道，我今天刚知道我才发现这个功能，我之前都没注意。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
0FtJHQ9x3PM.aac,这才是辣条音，知道吗？,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
8Ywch36b8z8.aac,哈喽哈喽，队友有卖打吗？,1,0,社交互动,非社交互动,Step1: 未出现列表中的社交召唤词（如一起打游戏等），判0。,误判
IQNCukrb8XA.aac,嗯嗯，66666666666。啊，他们都说我声音是辣条音啊，啊，我声音哪辣条了也不辣条呀。呃呃我夹一下好吧，OK。噢噢噢哈喽哥哥有麦打不打呀？嗯，我的脚香，嗯嗯嗯嗯哈喽哥哥有卖的不打哥哥。,1,0,社交互动,非社交互动,Step1: 无列表中的社交召唤词，判0。,误判
NR0RMpPbA8Y.aac,要视频教程的先点赞我的视频。,1,0,社交互动,非社交互动,Step1: 未出现列表中的“帮我点点赞”等完整短语，判0。,误判
PJ2mroii80Q.aac,有没有人围我一下，有没有人围我一下。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，判0。,误判
1P7HXMB-J6E.aac,哈哈哈哈哈哈。你笑我也想笑。,1,0,社交互动,非社交互动,Step1无社交相关词汇，纯笑声和陈述，判0。,误判
j3w5OXRys8A.aac,我去我去竟然是真的。,1,0,社交互动,非社交互动,Step1无社交相关词汇，表达惊讶，判0。,误判
DDsLJ38xp34.aac,哎哟我去，我怎么好莫名其妙的。,1,0,社交互动,非社交互动,Step1无社交相关词汇，自我感慨，判0。,误判
aPRn7_QaHw4.aac,我们只是运气好，抽中了这个还在内测版本，有一些人还是不能发的。,1,0,社交互动,非社交互动,Step1无社交相关词汇，陈述事实，判0。,误判
Yebnzcd45xk.aac,来个人评价一下我的声音啊，对。,1,0,社交互动,非社交互动,Step1无社交相关词汇（“来个人”不在列表中），请求评价，判0。,误判
JHV35UCH32A.aac,我去不说我孩子没发现。,1,0,社交互动,非社交互动,Step1无社交相关词汇，陈述发现，判0。,误判
hrXCibSykJM.aac,我也可以。,1,0,社交互动,非社交互动,Step1无社交相关词汇，简短回应，判0。,误判
XGu2JkkPCjQ.aac,好的小妹妹。,1,0,社交互动,非社交互动,Step1无社交相关词汇，称呼回应，判0。,误判
GXZxXj8H_18.aac,我也是想说呀，不是每个人都可以发吗？,1,0,社交互动,非社交互动,Step1无社交相关词汇，疑问句，判0。,误判
5gRlUUQzkZk.aac,吱吱吱吱吱。哈哈哈哈哈哈。哈哈哈哈哈。,1,0,社交互动,非社交互动,Step1无社交相关词汇，纯拟声和笑声，判0。,误判
ynAprKSXiq8.aac,我打游戏很菜呀，而且我只会打王者荣耀。,1,0,社交互动,非社交互动,Step1无社交相关词汇，陈述自身情况，判0。,误判
omDP-XkGUew.aac,我找到了，来郑州新郑找我。,1,0,社交互动,非社交互动,Step1未出现列表中的社交相关词汇（“找我”不在列），判0。,误判
02CaFCzZFpI.aac,嗯，哥哥。,1,0,社交互动,非社交互动,Step1无社交相关词汇，简单称呼，判0。,误判
bSzfmJqqN0k.aac,向上向向向向向向向向向向向向前向努力。,1,0,社交互动,非社交互动,Step1无社交相关词汇，重复无意义，判0。,误判
IOF_WITfToY.aac,我靠，听到我肚肚疼。,1,0,社交互动,非社交互动,Step1无社交相关词汇，表达感受，判0。,误判
5_DvS9JbkSw.aac,喵喵喵喵喵，我也有，我也有喵喵喵喵，羡慕吧，羡慕吧。,1,0,社交互动,非社交互动,Step1无社交相关词汇，炫耀性陈述，判0。,误判
imL2uIzlz3E.aac,嗯。,1,0,社交互动,非社交互动,Step1无社交相关词汇，极短无意义，判0。,误判
YrbeYNIa4Wo.aac,宝贝快看性感小夜猫。,1,0,社交互动,非社交互动,Step1无社交相关词汇，叫对方看内容，非社交请求，判0。,误判
dYZbgiyR3Q8.aac,咕咕嘎嘎。,1,0,社交互动,非社交互动,Step1无社交相关词汇，无意义拟声，判0。,误判
Mnf9P7HsBBg.aac,呀号呀号哦，买嘎。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
95Iueeo8r6k.aac,城主这个我回城主杀了分手。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
bieM7ud7ipc.aac,就是你点进你那个对话框。然后上面有一个类似语音的东西，然后你点开它点击这个就好了。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
_E5i5_ulIQI.aac,木马。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
QCCBOpCE24k.aac,啊。呃啊啊。看。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
l02Vc5_uc5M.aac,不知道一上线就有了。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
bxTT-8-cCiY.aac,我靠，快手也能发语音了。太开心了。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
fybwFFP27ZA.aac,少部分的人才有。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
xEN0QnRB93w.aac,我靠了。咱这个语音不是能发了吗，快点快点过来问我哦。也是无聊得要死了，想舔一下就溜达了，对。嗯，对不起天舅舅家了，我要伤着脏，哎呀也烧。我算的也是超级的准对的。,1,0,社交互动,非社交互动,未出现明确的社交相关词汇（“过来问我”不在列表），直接判0（Step1）。,误判
jb_Azoqh31Q.aac,哎，我去闺蜜你声音都比我好听多了，我靠，说白了。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
G_5Tib6aQZ4.aac,你是觉得我很蠢。你以为你保护你阿西存活。我发觉不到吗？看到我。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
4zoOhDZr794.aac,哎，666真能发呀，这么有实力啊。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
1SJtiMpognE.aac,我去我也会发呀，我去。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
tKUblpRwYbo.aac,向上向上，向上向上向前是萝莉音。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
lhxhOIFUDfg.aac,天南海北太远了，我带你去缅甸，保证对你掏心掏肺。,1,0,社交互动,非社交互动,出现社交邀请短语但属于荒诞玩梗语境（夸张玩笑），归搞笑/玩梗，判0（Step3.2）。,误判
586mWnpacV4.aac,两千两百22块二毛二。,1,0,社交互动,非社交互动,未出现社交相关词汇，直接判0（Step1）。,误判
