voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
Dwk6fA7eg1M.aac,哈喽哈喽，队友有麦打不打？,0,1,非社交互动,社交互动,Step1含社交邀请（询问是否一起打游戏），Step5核心是发起具体组队请求，判1。,误判
2-mAKzLuA24.aac,然后包括去了解了一下，嗯就是超话那边的说是可以改编，所以呢我其实发这个作品之前我也很忐忑，因为我知道肯定会有人去骂我，呃但是我确实是做了一些功课我才去发的，然后下面是我约的假发，给大家提前看一下，如果真的有什么不对的地方，也欢迎大家，嗯也欢迎大家指正好吧。,0,1,非社交互动,社交互动,Step1命中“欢迎大家”，Step2未排除，Step5核心是发起具体互动请求（指正），判1。,误判
aPIeScdQ9yg.aac,哈喽哈喽，队友有麦打不打呀？,0,1,非社交互动,社交互动,向队友发起组队游戏邀请，对象和形式具体明确，Step5判1。,误判
PRLplqURlTY.aac,要不然我们小时候炒过韭菜，做过茄汁儿，三分你做三分我炒菜热气腾腾。,1,0,社交互动,非社交互动,无社交相关词汇，叙述回忆（Step1）。,误判
oueJhIfD8p4.aac,,1,0,社交互动,非社交互动,Step1：空文本，无社交相关概念。,误判
1ah-UOo0eEA.aac,我靠我声音好难听啊，让我听听你们萌妹子的声音吧，让我羡慕羡慕。,1,0,社交互动,非社交互动,Step1：无社交召唤词列表中的词汇，直接判0。,误判
kGyf8mVj9Zw.aac,啊啊啊啊啊不能再说。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，判0。,误判
RWanLryDO3s.aac,Ok呀宝子，看起来也只能我一个人能发语音了。,1,0,社交互动,非社交互动,未出现社交相关词汇，根据Step1判0。,误判
SkcMIboQxlA.aac,三明治三明治。,1,0,社交互动,非社交互动,无社交相关词汇，Step1判0,误判
BX03yC2igos.aac,你不是会弄吗？,1,0,社交互动,非社交互动,无社交相关词汇，Step1判0,误判
bcI1Ko2vpl0.aac,姐姐分个两批给你，不不不不不不不。,1,0,社交互动,非社交互动,无社交相关词汇，Step1判0,误判
oTCOOdoh0M4.aac,啊所以呢，哭完了吗？哭完我挂了。,1,0,社交互动,非社交互动,无社交相关词汇，Step1判0,误判
r7PPYzKb8Jc.aac,我从来都没会输。,1,0,社交互动,非社交互动,无社交相关词汇，Step1判0,误判
2IaCELoBUww.aac,来个肘子，我是辣条。,1,0,社交互动,非社交互动,Step1：未出现社交相关词汇，直接判0。,误判
Ll0BwCg2aks.aac,姐姐放个奶片给你，不不不不不。,1,0,社交互动,非社交互动,Step1：未出现社交相关词汇，直接判0。,误判
RGXJL-svv0M.aac,来个正太，我是扭腰。,1,0,社交互动,非社交互动,Step1：无明确社交相关词汇，内容简短，倾向判0。,误判
6iP_L59aEco.aac,我去我去快手竟然可以发语音了，谁来跟我语音聊天呀。,0,1,非社交互动,社交互动,Step5核心意图确认，说话人发起具体语音聊天邀请，判1。,误判
K01yNJPMPs8.aac,哈喽哈喽，队友有麦打不打呀？不打拉倒。知道爱你没有结局，痴心妄想你会给我甜蜜，有心无力遥不可及，一切幻想写入了歌里。,0,1,非社交互动,社交互动,Step1命中社交邀请短语（打不打=一起打游戏），Step2排除叙述/评价，Step5核心是发起游戏组队请求，对象具体，判1。,误判
UPRW6eTotgY.aac,为什么没有台湾的人发音让我听一听啊，感觉很可爱诶。,1,0,社交互动,非社交互动,无社交相关词汇，命中Step1，判0。,误判
XxZ1-Wmepus.aac,哈喽哈喽，队友有麦打不打？,0,1,非社交互动,社交互动,Step1命中社交召唤词（打游戏邀约），Step5核心是发起组队请求，对象明确，判1。,误判
ExyAuoUAGzA.aac,其实我也是这样想的，然后我朋友的他们更新了还是没有。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，直接判0。,误判
vAK6ggXxyVY.aac,哦在这特别的日子里怎么办我唱不来呀。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，直接判0。表达唱不来，无社交请求。,误判
A7l1lFGCArU.aac,喊老公的今晚十二点全部来打白仁宝。,1,0,社交互动,非社交互动,Step1：未出现列表中的社交相关词汇，直接判0。,误判
3GKhUkfhh0c.aac,宝贝开心一点。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，直接判0。安慰鼓励，非社交请求。,误判
nYwMmbOLpWM.aac,算姐姐没用。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，自嘲/抱怨，判0。,误判
QT0LycjhE1Y.aac,我有诶我有诶。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，直接判0。,误判
vABGYtjuYhc.aac,嘿嘿嘿，我自己，嗯嘿嘿嘿嘿嘿，嗯啥子。,1,0,社交互动,非社交互动,Step1：未出现社交相关词汇，直接判0。,误判
tddSFrrh6o0.aac,啊来个福，我是瑞。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，直接判0。,误判
YM6aE6Z7-_Y.aac,我竟然是第一个。,1,0,社交互动,非社交互动,Step1: 无社交相关词汇，直接判0。,误判
D9E02Q60Ipo.aac,拍王者段子有人吗？,0,1,非社交互动,社交互动,Step1命中社交邀请短语（一起拍段子），Step5确认核心是发起具体社交请求，判1。,误判
