voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
Uo0_bouLmdY.aac,都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,1,0,搞笑/玩梗,非搞笑/玩梗,内容混乱不完整，无明确搞笑结构，按全局铁律判0。,误判
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单叫卖，无搞笑结构。,误判
EL5g0wkN-wc.aac,上一秒我在台北看烟火，下一秒你在上海和某地口。你感觉我就像我感觉你世界上的另一个我，上一秒我在怕你落。大雨下一秒，你在蒙古天气，请你感觉我就像我感受你世界上的。另一个我。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第6条：恶搞改编歌词，制造荒诞效果。,误判
FDdyR0bRGKc.aac,哎呦我去，你爸很潮啊。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第2条：调侃他人，带戏谑揶揄意味。,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,简单叫卖，无搞笑结构。,误判
6DzW9xQc8zc.aac,什么叫做5200，经常转一次比一次突破。这还是中国话吗？明明每个字我都认识组合在一起，我怎么就不认识了。,1,0,搞笑/玩梗,非搞笑/玩梗,单纯吐槽网络用语，无主动制造笑点的结构。,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无意义，无搞笑特征。,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：简单重复叙述，无搞笑意图。,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：简单重复，无搞笑意图。,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：乱语/重复，无明确搞笑结构，判0。,误判
lsuzExbHzig.aac,卖三明治嘞，卖三明治嘞，走过路过不要错过，看看我们家最近新鲜的三明治。都是自己纯手工打造。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：普通叫卖，无搞笑结构。,误判
GvYkDOcmLSI.aac,sity spection。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：ASR错误或无意义文本，判0。,误判
mSS-hFtJBB4.aac,棉袄叔叔在练步机。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,Step7：笑声依附于单纯叙述，核心意图是描述场景，非主动制造笑点。,误判
8pryz94qCPM.aac,卖扇贝吃喽，卖扇贝吃喽，看看，哈哈哈哈哈，卖扇贝吃喽。,1,0,搞笑/玩梗,非搞笑/玩梗,Step7：笑声依附于叫卖，核心意图是推销，非主动制造笑点。,误判
9-CVoGqwDlc.aac,呃。啊，是关中王来了。点开这颗星，点亮这颗星。哥哥你在哪里？,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：直播互动/喊麦，无明确搞笑结构或可识别梗。,误判
89bFcIPWNho.aac,哔哔喇叭，我的刀盾。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：游戏术语/喊麦，无搞笑结构。,误判
cpqnl5U8wYU.aac,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,1,0,搞笑/玩梗,非搞笑/玩梗,普通描述，无搞笑结构或笑声词，Step9兜底判0。,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声字符，无独立语义，Step5判0。,误判
FBwkSG38p4s.aac,来三明治，三明治好吃，要钱不好吃也要钱来。,1,0,搞笑/玩梗,非搞笑/玩梗,虽有反转但更像真实吐槽，非主动制造笑点，边界按全局铁律判0。,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨语气，无搞笑结构，非主动逗乐，Step9判0。,误判
k39sNROxshM.aac,不是干嘛啊，播真的没招了。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨语气，无搞笑结构，判0。,误判
_vfsP4u1NEE.aac,猜名字，猜名字看一下吧。有点害羞哦，三明治。三明治在睡觉，周末有教室。想买的话可。先把他们。芭蕉香，OK。,1,0,搞笑/玩梗,非搞笑/玩梗,内容混乱，无明确搞笑结构，判0。,误判
2aPG0zZ8h9g.aac,叫哥哥。,1,0,搞笑/玩梗,非搞笑/玩梗,简短指令，无搞笑意图，判0。,误判
RAyAYUOXo3k.aac,我非要去下载玩吃鸡。,1,0,搞笑/玩梗,非搞笑/玩梗,表达意愿，无搞笑结构，判0。,误判
zDNT7Jtnv_s.aac,哎，还有谁发不了语音呢，不好意思我可以发。,0,1,非搞笑/玩梗,搞笑/玩梗,调侃他人发不了语音，戏谑炫耀，命中Step2第2条。,误判
