voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
6DzW9xQc8zc.aac,什么叫做五二零零经常转，一次比一次突破，这还是中国话吗？明明每个字我都认识，组合在一起我怎么就不认识了？,1,0,观点表达,非观点表达,Step1 无观点标记词，纯困惑吐槽，判0,误判
W-AWRfGm6oU.aac,闺蜜你还怪聪明的嘞，按都不按下。,1,0,观点表达,非观点表达,Step1：无观点标记词，口语调侃，非观点表达。,误判
107avBWwuJ4.aac,欢迎我啊呸，恭喜我成为尊贵的内测用户，你们好像不可以等后期全网都有吧，告诉了啊，然后你就可以看到一波发两波发。,1,0,观点表达,非观点表达,Step1: 无观点标记词，分享经历+猜测，判0。,误判
vCJa-K2Q560.aac,嗯一直转圈，仿佛不是自己在操控自己。,1,0,观点表达,非观点表达,Step1: 无观点标记词，描述感受，判0。,误判
6ELzi5h0C88.aac,对不起老师我近视三百多度没戴眼镜，并且加上我现场的灯光忽暗给看成了绿色，真的很抱歉当时还没看见你的评论。,1,0,观点表达,非观点表达,Step1: 无观点标记词，道歉解释，判0。,误判
RSj_TbtNOJA.aac,官方我太爱你了，这个东西我最喜欢了哦官方。,1,0,观点表达,非观点表达,无观点标记词，情感表达但未命中标记词列表，Step1判0,误判
au7tZFLx9s4.aac,真是服了这个键盘了，这么恶臭的语音，一说话就开始唱歌，搞得我被同学他们都嫌弃了。,0,1,非观点表达,观点表达,包含评价词'恶臭''服了'，表达对键盘语音功能的不满，属于态度评价，命中Step1+Step3。,误判
sf-GEvs7qnM.aac,我真的好崩溃啊，一发语音就唱歌，我是真的没招了。,0,1,非观点表达,观点表达,表达崩溃情绪，对现象的态度评价，包含观点标记词'真的'，命中Step1+Step3。,误判
fmu4voMCALY.aac,又塞车，每次都塞车，真的很有事诶，我曾经有和你讲过，我今天真的不能迟到，根本没有在好好听诶。,0,1,非观点表达,观点表达,表达对塞车和对方的不满，有评价'很有事'，属于态度表达，命中Step1+Step3。,误判
mNlJbo_zMSs.aac,我真的好崩溃啊，一发语音就唱歌，我是真的没招了。,0,1,非观点表达,观点表达,表达崩溃情绪，对现象的态度评价，包含观点标记词'真的'，命中Step1+Step3。,误判
1n770j8D3zs.aac,闺蜜们，我真的尽力了。,1,0,观点表达,非观点表达,简单陈述，无观点标记词，无表态，命中Step1直接判0。,误判
XgUfSJx8Wi0.aac,你这个声音肯定夹了呀。,1,0,观点表达,非观点表达,对客观事实的猜测（声音是否夹了），属于猜事实，不是态度评价，命中Step3判0。,误判
5bFLIp3Cawg.aac,不是本来就能吗？,1,0,观点表达,非观点表达,Step0.5：对快手App功能的元提问，直接判0。,误判
EKUah_aUFvM.aac,其实我感觉哪边的人读这个英文都一样吧，Satisfaction.,0,1,非观点表达,观点表达,包含观点标记词“我感觉”，表达对读法的主观看法，属于观点表达（Step1-3）。,误判
P5RUD_26V30.aac,不要叫不要叫这个可能是在内测，就跟之前那个什么火花超过七天的那个专属称称号那个一样，嗯就是再过个一段时间它可能所有人就会有了，这个是在内测的啊。,1,0,观点表达,非观点表达,猜测事实（内测），非观点表达（Step3）。,误判
PVCaqfC2H-4.aac,先开始只是抖音有，嗯，应该说抖音一直都有，然后这个快手差不多是最近才有的。,1,0,观点表达,非观点表达,陈述客观事实，非态度评价（Step 3）,误判
