voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
Uo0_bouLmdY.aac,都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,1,0,搞笑/玩梗,非搞笑/玩梗,文本混乱似ASR错误，无明确搞笑结构，按全局铁律判0。,误判
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单叫卖重复，无搞笑结构，Step9判0。,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,简单叫卖，无搞笑结构，Step9判0。,误判
6DzW9xQc8zc.aac,什么叫做5200，经常转一次比一次突破。这还是中国话吗？明明每个字我都认识组合在一起，我怎么就不认识了。,1,0,搞笑/玩梗,非搞笑/玩梗,表达困惑吐槽，语气夸张但无具体搞笑结构，Step9判0。,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无意义，无搞笑意图，Step9判0。,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,单纯陈述购买行为，无搞笑意图。,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,重复叫卖，无搞笑结构。,误判
CHlhmklfpGo.aac,你怎么忍心怪你对我太毒逗。无时无刻就像一把无法停止的乌云钩。扛住了柴米油盐的麻烦，扛住了朋友聚会的焦。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第6条，恶搞改编歌词（毒逗、乌云钩等荒诞词），故意制造笑点。,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,搞笑/玩梗,非搞笑/玩梗,无明确搞笑结构，疑似乱语或ASR错误，边界判0。,误判
xtMoh9kiRwQ.aac,我去，竟然能发语音了。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第10条，押韵顺口溜带荒诞场景（奥特曼慢飞），属于玩梗。,误判
7m4utLn0EY0.aac,奥特曼飞得慢，飞到凌晨三点半。,1,0,搞笑/玩梗,非搞笑/玩梗,正常叫卖广告，无搞笑结构。,误判
