voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,模仿叫卖，无笑声词，无明确逗乐意图，Step10判0。,误判
FDdyR0bRGKc.aac,哎呦我去，你爸很潮啊。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2命中：明显调侃语气，以逗乐为目的评论对方爸爸，无笑声但核心意图是玩梗。,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖广告，无笑声或调侃，核心意图是推销，Step10判0。,误判
n6IK_GqJE24.aac,笑死我了，你们这群没有更新的。,0,1,非搞笑/玩梗,搞笑/玩梗,Step1命中：出现独立成句的“笑死我了”，明确表达被逗笑，核心意图是搞笑。,误判
6DzW9xQc8zc.aac,什么叫做5200，经常转一次比一次突破。这还是中国话吗？明明每个字我都认识组合在一起，我怎么就不认识了。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2命中：明显调侃语气，夸张反问“这还是中国话吗”，以逗乐为目的吐槽网络用语。,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,极短文本，无笑声或调侃特征，Step10兜底判0。,误判
FtYuU8GohWs.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令抬令抬抬肥肥胖胖是太阳，鼓鼓囊囊是三缸。风风光光小路上三个吊郎当。一个志向要做栋梁，一个挖空心思经商，一个服务器，好的实在有点太夸张。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2：恶搞改编歌词，内容荒诞滑稽，明显调侃逗乐。,误判
dBuWMoTEe3o.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待命，抬令抬抬鼠牛，功夫高虎兔胆气好。龙在左，蛇在右，马牙匆匆骑来到。猴鸡向着换猪狗来帮忙，哦，不对，搞错狗猪来帮忙。抓打小水晶，刚，抓打小水晶刚。肥肥胖胖是太阳，鼓鼓隆隆是山岗，红红火火小路上三个吊耳郎当。一个对象要做梁，一个研究空心司机舱，一个服务器好的实在有点夸张，呃，他这个。有一些错了，不歉不歉。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2：恶搞改编、故意说错，调侃语气贯穿全文。,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,Step10：单纯叫卖叙述，无幽默元素。,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,Step10：重复叫卖，无搞笑意图。,误判
