voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
WuXf5Bg1K2o.aac,中奖概率倍儿高，奖品验码倍儿好，手机钞票，奔驰金票，还有大金老停，中奖倍儿低。倍儿高奖品也好，倍儿好，手机钞票，奔驰金枪，还有大金刚完美中。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似广告模板喊麦，无具体搞笑结构，高优先规则G（原版模板照搬）,误判
Uo0_bouLmdY.aac,都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR文本混乱，信息量弱，高优先规则B,误判
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单吆喝，无搞笑结构，Step9判0,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,简单广告，无搞笑结构，Step9判0,误判
n6IK_GqJE24.aac,笑死我了，你们这群没有更新的。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声词+简单调侃，缺乏具体荒诞场景支撑，Step1不满足，Step9判0,误判
6DzW9xQc8zc.aac,什么叫做5200，经常转一次比一次突破。这还是中国话吗？明明每个字我都认识组合在一起，我怎么就不认识了。,1,0,搞笑/玩梗,非搞笑/玩梗,吐槽网络用语，无反转或荒诞场景，高优先规则C（单句调侃式反问）,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,信息量极弱，无搞笑结构，Step9判0,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单重复叙述，无搞笑结构。,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单重复，无搞笑结构。,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,搞笑/玩梗,非搞笑/玩梗,拟声词+称呼，信息量弱，无搞笑结构。,误判
lsuzExbHzig.aac,卖三明治嘞，卖三明治嘞，走过路过不要错过，看看我们家最近新鲜的三明治。都是自己纯手工打造。,1,0,搞笑/玩梗,非搞笑/玩梗,普通叫卖，无二次创作搞笑，判0。,误判
GvYkDOcmLSI.aac,sity spection。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则B：ASR文本严重错乱，信息量极弱，判0。,误判
mSS-hFtJBB4.aac,棉袄叔叔在练步机。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声词依附于简单叙述，无具体搞笑内容支撑，判0。,误判
8pryz94qCPM.aac,卖扇贝吃喽，卖扇贝吃喽，看看，哈哈哈哈哈，卖扇贝吃喽。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声依附于叫卖核心意图，判0（Step7）。,误判
s5c26pF9vwo.aac,网恋被骗18块，从此分心不再。,1,0,搞笑/玩梗,非搞笑/玩梗,短句自嘲，无连续递进反转结构，命中高优先规则H,误判
9-CVoGqwDlc.aac,呃。啊，是关中王来了。点开这颗星，点亮这颗星。哥哥你在哪里？,1,0,搞笑/玩梗,非搞笑/玩梗,疑似喊麦模板或直播互动，无二次创作，命中高优先规则G,误判
89bFcIPWNho.aac,哔哔喇叭，我的刀盾。,1,0,搞笑/玩梗,非搞笑/玩梗,短句无搞笑结构，兜底判0,误判
cpqnl5U8wYU.aac,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,1,0,搞笑/玩梗,非搞笑/玩梗,文本信息量弱，无搞笑结构，疑似ASR识别问题或普通叙述，判0。,误判
tTtwjKb_-WE.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令台令台台。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似真实歌词，无恶搞改编证据，归高优先规则D。,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声，无独立语义，Step5判0。,误判
QqmwcI18e5I.aac,嗯。嗯嗯，来来来瞧一瞧，看一看了，内蒙古羊肉串，一块钱一串，一块钱一串，买不了吃亏买不了上当。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则G：地摊吆喝原版照搬，非二次创作。,误判
FBwkSG38p4s.aac,来三明治，三明治好吃，要钱不好吃也要钱来。,1,0,搞笑/玩梗,非搞笑/玩梗,普通叙述，无反转或荒诞结构，判0。,误判
gps9yYYl4PM.aac,哥哥我摔倒了，原来扶我一下吧，哥哥。哥哥摔倒了，人家摔倒了，快来扶一下吧，饿。,1,0,搞笑/玩梗,非搞笑/玩梗,短句重复撒娇，无明确反转或荒诞落点，精确率优先判0。,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则A：设备/功能吐槽（发语音就唱歌），带情绪词仍判0。,误判
Nd0yxPcUFGE.aac,哈喽everybody。sorry，我不喜欢女孩，sorry我不会哄男孩。,1,0,搞笑/玩梗,非搞笑/玩梗,短句无明确反转结构，判0。,误判
k39sNROxshM.aac,不是干嘛啊，播真的没招了。,1,0,搞笑/玩梗,非搞笑/玩梗,平淡抱怨，无搞笑结构。,误判
_vfsP4u1NEE.aac,猜名字，猜名字看一下吧。有点害羞哦，三明治。三明治在睡觉，周末有教室。想买的话可。先把他们。芭蕉香，OK。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR混乱，信息量弱，无搞笑结构。,误判
2aPG0zZ8h9g.aac,叫哥哥。,1,0,搞笑/玩梗,非搞笑/玩梗,极短命令，无搞笑。,误判
RAyAYUOXo3k.aac,我非要去下载玩吃鸡。,1,0,搞笑/玩梗,非搞笑/玩梗,平淡叙述，无搞笑。,误判
3Y9oElNxNOg.aac,特别神奇，发育音还在唱歌。我听着语音蹦不出了啊。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则A：设备/工具吐槽伴随笑声词，核心吐槽语音功能。,误判
s5UeFIGYrH0.aac,着歌变声器发语音还在唱歌，我听着语音绷不住了。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则A：吐槽变声器设备，核心意图是工具吐槽。,误判
BDx3NJS_5p8.aac,小哥哥。太小了叫叔叔，太老了，你应该怎么叫我的。,1,0,搞笑/玩梗,非搞笑/玩梗,称呼排除结构不完整，仅两个称呼，不满足Step2第9条。,误判
RaJlAec9uVM.aac,泪水打湿养浴吧，又麻又辣又想她。,1,0,搞笑/玩梗,非搞笑/玩梗,内容模糊，无清晰搞笑结构，拿不准判0。,误判
tORIA-4XIEI.aac,想要问问你敢不敢。像你说过那样的爱我。想要问问你敢不敢。像我这样为爱痴狂。想要问问你敢不敢像你说过那样的。呜呜呜呜呜，为爱痴狂。到底你会怎么想？,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则D：真实歌词《为爱痴狂》片段。,误判
g2anZjJ8Ds8.aac,别闹叔叔再连夫妻。嗯嗯。,1,0,搞笑/玩梗,非搞笑/玩梗,短句，无递进搞笑结构，归高优先规则H。,误判
wP5S27PK0JQ.aac,哎呀，哥哥我摔倒了。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则H：短句调侃，无递进反转。,误判
e3N1FYn5My8.aac,真是服了这个KK键盘了，什么恶臭的语音，一说话就开始唱歌。搞得我们同学他们都嫌弃了，好吧，家人们。,1,0,搞笑/玩梗,非搞笑/玩梗,高优先规则A：设备/工具吐槽，核心抱怨KK键盘。,误判
tpyHh7tAvSE.aac,三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,单词语，无任何搞笑。,误判
XgYO7x1Hf_g.aac,三明治，三明治，新鲜的三明治嘞。,1,0,搞笑/玩梗,非搞笑/玩梗,模仿叫卖吆喝，但属于通用模板（地摊吆喝），无针对具体对象的二次创作，符合高优先规则G，判0。,误判
Hft1Wcl2hUQ.aac,嗯。哭完了吗？哭完挂了。,1,0,搞笑/玩梗,非搞笑/玩梗,简短反问+指令，无搞笑结构，无笑声词，Step9判0。,误判
yRIIdlBvFuE.aac,啊啊。哈哈哈哈。哎。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声笑声，无独立语义，Step5判0。,误判
M6qHVQUPsxM.aac,向上向上，向上，向上向上。挣钱。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义的重复指令+单词，无搞笑结构，Step9判0。,误判
_NXZPuYEpPI.aac,爱在唱歌。我听着语音封不住了啦。,1,0,搞笑/玩梗,非搞笑/玩梗,设备吐槽（语音封不住）+笑声词，符合高优先规则A，判0。,误判
bihK2JCsh8I.aac,我只是摔倒了，又不是摔死了，你凭什么觉得。我爬不起来了呢。,1,0,搞笑/玩梗,非搞笑/玩梗,短句自我辩护/反问，无反转笑点，符合高优先规则H（短句自我辩护），判0。,误判
_R7zmcVa8Dw.aac,向上向上，向上向上向前是萝莉音，湖北歌就是串通。,1,0,搞笑/玩梗,非搞笑/玩梗,内容碎片化，ASR可能错乱，信息弱，无法判定搞笑结构，Step9判0。,误判
urY4wyV80hY.aac,猪猪。我要换奶片喽。,1,0,搞笑/玩梗,非搞笑/玩梗,短句日常表达，无搞笑结构，无笑声词，Step9判0。,误判
dc_JDqvdHNs.aac,渣渣，发个奶屁给你不，不不，呵呵呵呵呵，死我了。,1,0,搞笑/玩梗,非搞笑/玩梗,短句调侃+拟声笑，但内容简短无连续递进，符合高优先规则H（短句调侃+奇怪动作），判0。,误判
_nWzwlmNny8.aac,6666。,1,0,搞笑/玩梗,非搞笑/玩梗,纯数字，无搞笑结构，Step9判0。,误判
nqOgtgFzzXk.aac,啊啊。OK，可离合呀，好棒。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义声音+评价，无搞笑结构，Step9判0。,误判
jPAboLUxsOk.aac,啊，不出。哇哦哦哦。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义短词，Step9判0。,误判
T7_9EnjS-gc.aac,中奖概率倍儿高，奖品野马跟儿好。嗯哎，不会唱了。,1,0,搞笑/玩梗,非搞笑/玩梗,喊麦式句子但结尾说不会唱，整体更像唱歌尝试，无明确搞笑结构，Step9判0。,误判
HOMfOV58Bvc.aac,泪水打湿火鸡面，发誓从此不相见。,1,0,搞笑/玩梗,非搞笑/玩梗,短句押韵，但信息量弱，无荒诞落点，不符合Step2第10条（需押韵+荒诞落点），判0。,误判
kvOzcj0z_bk.aac,我要烟牌牌没有问题，我给我踩皮鞋。,1,0,搞笑/玩梗,非搞笑/玩梗,内容不连贯，信息弱，无明显搞笑结构，Step9判0。,误判
boUawH4KhlI.aac,别闹了。世人难辨不清。,1,0,搞笑/玩梗,非搞笑/玩梗,无搞笑结构，Step9兜底判0。,误判
Tf3vo8TsD88.aac,向上向上，向上向上向上向前是俄语音。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR文本严重错乱，信息量弱，符合高优先排除规则B。,误判
pR7UHrjc-2E.aac,叫哥哥还是叫老公小调皮，哈哈哈哈哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,短句调侃且笑声无具体内容支撑，高优先规则H，Step1判0。,误判
ID-7OHrjbkg.aac,我真的着了，有没有人帮帮我真的管不了了。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨语句，无搞笑结构，Step9兜底判0。,误判
9yVYMCaIAnc.aac,小哥哥太小了。叫叔叔看来了，你妈妈性格不对，你想想。你应该相信吧。,1,0,搞笑/玩梗,非搞笑/玩梗,称呼排除结构不完整且表述错乱，不满足Step2第9条，判0。,误判
Z-eDel2fa_g.aac,啊，这可别生气。把语音还在唱歌。我听着语音绷不住的爱。,1,0,搞笑/玩梗,非搞笑/玩梗,核心是设备吐槽（语音唱歌），笑声词附带，符合高优先排除规则A。,误判
tBSLrb3_lTY.aac,向下向下，向下，向下向后上点儿。,1,0,搞笑/玩梗,非搞笑/玩梗,指令性语言，无搞笑结构，判0。,误判
EbLbdphagVE.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,设备吐槽（发语音就唱歌），符合高优先排除规则A。,误判
wQP8yhbMpO8.aac,呵，好呵，好，呵呵呵。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声笑声字符，Step5判0。,误判
PEFk2hJhQQE.aac,新疆的猫叫彬彬，他不来不信你听。咪咪咪咪咪咪。调皮给他妈喊过来你听啊。回来啦。,1,0,搞笑/玩梗,非搞笑/玩梗,叙述性描述，无明确反转或搞笑结构，判0。,误判
xfh2e68kL_k.aac,小萝卜。,1,0,搞笑/玩梗,非搞笑/玩梗,单个名词，无搞笑结构，判0。,误判
yCdBTl9XNeA.aac,我要烟牌牌没有问题给我擦皮鞋。,1,0,搞笑/玩梗,非搞笑/玩梗,语义模糊，无明确搞笑结构，判0。,误判
g1Lv3h8CGp0.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去踩。我忍不住去摘我敞开胸怀，为你等待你抬抬。,1,0,搞笑/玩梗,非搞笑/玩梗,疑似真实歌词，个别词可能识别错误，无故意恶搞元素，高优先规则D/I判0。,误判
J5hInoM1Qzc.aac,一开始我也以为他们只是玩个，然后就买了个变声器，结果现在改不回了。,1,0,搞笑/玩梗,非搞笑/玩梗,设备吐槽（变声器），符合高优先排除规则A。,误判
wc99dTifm6o.aac,啊啊。big。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义，信息量弱，判0。,误判
mmlLkpLeR98.aac,不能啊。啊。嗯，不能拿。,1,0,搞笑/玩梗,非搞笑/玩梗,简单否定，判0。,误判
mVCUcqub5x0.aac,三明治，三明治，三明治。今天新的三明治，好吃又好吃，特别好吃，三明治啦。嗨。,1,0,搞笑/玩梗,非搞笑/玩梗,类似广告叫卖，无对仗或针对对象的二次创作，判0。,误判
Zw_RxgS0OQQ.aac,什么东西拿回读英语嘞，能开玩笑嘞。city sfection,1,0,搞笑/玩梗,非搞笑/玩梗,ASR文本严重错乱（英文乱拼），信息量弱，高优先规则B。,误判
uubC3Z4QgEg.aac,电脑叔叔在拉屎。,1,0,搞笑/玩梗,非搞笑/玩梗,短句调侃，无连续递进结构，高优先规则H判0。,误判
gH6Rw9pr7Pk.aac,别闹，我在玩和平精英。,1,0,搞笑/玩梗,非搞笑/玩梗,简单回应，无搞笑结构，判0。,误判
MGF9FVr9Sqs.aac,怎么都开始挑战这个熊东西了。有什么好挑战的，我靠了兄弟set is vection。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR文本后半乱码，信息量弱，高优先规则B。,误判
EqXGPuULt68.aac,妈妈31岁。11岁又健康的31岁谁要买给我直播间拉倒。,1,0,搞笑/玩梗,非搞笑/玩梗,信息混乱，无明确搞笑结构，判0。,误判
iENRM428CCw.aac,city sfiction,1,0,搞笑/玩梗,非搞笑/玩梗,ASR乱码，符合高优先规则B，判0。,误判
_SEXkv3BAR0.aac,中奖概率倍儿高，奖品也码倍儿好，手机钞票本身今天还有大奖了。,1,0,搞笑/玩梗,非搞笑/玩梗,广告模板照搬，符合高优先规则G，判0。,误判
0WfrHFdnXdY.aac,啊。啊啊。啊啊嘿。啊哈嘿。啊嘿。诶诶诶。你人节快乐。一道道的沟沟。抖音道道亮。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR混乱，无明确搞笑结构，判0。,误判
3rdkZRqs3yI.aac,啊啊啊。啊。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声，无语义，判0。,误判
S56THLPagNw.aac,哈哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,纯笑声，无独立语义，Step5判0。,误判
4mHqKHKmQP4.aac,向下向下，向下，向下向下向前。,1,0,搞笑/玩梗,非搞笑/玩梗,操作指令，判0。,误判
Rx8xhqNaPF0.aac,浑沌眯一捂。鱼条一根。当你把这个倒头鱼条往脚米里面一泼。秦茂明渡过前后。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR严重错乱，符合高优先规则B，判0。,误判
kuCSzqcbgpA.aac,我现在用最简单最直白，最不绕弯子的话告诉你我没绷住。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声词单独成句，无具体搞笑内容支撑，Step1判0。,误判
zccvHlrUXXc.aac,谁能告诉我这个变声器咋关了。啊，我真不行啊。,1,0,搞笑/玩梗,非搞笑/玩梗,设备吐槽，符合高优先规则A，判0。,误判
rOoKUVoKUg4.aac,你是绝对温满村。你以为你保护的那些村货。我发现不了吗？看到我。,1,0,搞笑/玩梗,非搞笑/玩梗,信息混乱，无明确搞笑结构，判0。,误判
