voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
oroc6vPDKX0.aac,谁有指挥官高价回收指挥官。,1,0,提问/互动,非提问/互动,Step1有疑问词；Step4无问号，疑问词嵌在陈述句（广告）中，判0。,误判
2-mAKzLuA24.aac,然后包括去了解了一下，嗯就是超话那边的说是可以改编，所以呢我其实发这个作品之前我也很忐忑，因为我知道肯定会有人去骂我，呃但是我确实是做了一些功课我才去发的，然后下面是我约的假发，给大家提前看一下，如果真的有什么不对的地方，也欢迎大家，嗯也欢迎大家指正好吧。,0,1,非提问/互动,提问/互动,Step5：主动征求别人对自己的评价/反馈，真心想要答案，判1。,误判
zDNT7Jtnv_s.aac,唉还有谁发不了语音呢，不好意思我可以发。,1,0,提问/互动,非提问/互动,Step5: 自问自夸式反问，核心是炫耀而非真提问，判0。,误判
PKDYZFr5Zlg.aac,我评论区能说话，你气不气？,0,1,非提问/互动,提问/互动,Step1有疑问词'气不气'和问号；非攻击性反问，非吐槽式反问，核心是真心询问对方情绪，判1。,误判
Hft1Wcl2hUQ.aac,嘶嘶嗯嘶，哭完了吗？哭完挂了。,0,1,非提问/互动,提问/互动,Step1有疑问词'吗'和问号；非攻击性反问，非吐槽式反问，真心询问对方是否哭完，判1。,误判
pR7UHrjc-2E.aac,叫哥哥还是叫老公，小调皮哈哈哈哈哈。,1,0,提问/互动,非提问/互动,无列出的疑问词/问号，Step1直接判0。,误判
ID-7OHrjbkg.aac,我真的招了，有没有人帮帮我，真的管不了了。,0,1,非提问/互动,提问/互动,有疑问词“有没有”，表达求助，真心想要回应，Step5判1。,误判
xb8OhZ5AS6U.aac,向下往后拉，向下往后拉，向下往后拉，向下往后拉，是在吗？,0,1,非提问/互动,提问/互动,Step1命中疑问词'吗'和问号，真心询问对方是否在线，非修辞，判1。,误判
zccvHlrUXXc.aac,谁能告诉我这个变声器咋关了啊啊啊啊啊啊啊我真不行啊。,0,1,非提问/互动,提问/互动,Step5核心意图是真心求助如何关闭变声器，期待回答，判1。,误判
P_zz6P2BwdU.aac,快手能用语音？,0,1,非提问/互动,提问/互动,Step1有问号，Step2-5未排除，语义为真心询问功能，判1。,误判
