voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,0,1,非唱歌/朗诵,唱歌/朗诵,命中Step2：连续衬词“来来来来”≥3字，且后接商品名，配合节奏。,误判
T1tXGprk8bw.aac,泪水打湿数据线，我去好像会倒电。,0,1,非唱歌/朗诵,唱歌/朗诵,短句押韵，含情感意象“泪水”，不属于纯搞笑梗，命中Step3。,误判
7m4utLn0EY0.aac,奥特曼飞得慢，飞到凌晨三点半。,0,1,非唱歌/朗诵,唱歌/朗诵,两句押韵，短句整齐，类似顺口溜/朗诵，命中Step3。,误判
s5c26pF9vwo.aac,网恋被骗18块，从此分心不再。,0,1,非唱歌/朗诵,唱歌/朗诵,Step3：工整押韵短句，内容含情感自我评价，非纯搞笑梗。,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,唱歌/朗诵,非唱歌/朗诵,Step1排除：第三方转述吐槽，非自己在唱。,误判
Nd0yxPcUFGE.aac,哈喽everybody。sorry，我不喜欢女孩，sorry我不会哄男孩。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7兜底：普通聊天，无节奏复现。,误判
j-hA5GerIq4.aac,不如喘口气吧，小大声。,1,0,唱歌/朗诵,非唱歌/朗诵,普通聊天句式，无歌词/朗诵特征，命中Step7兜底判0。,误判
RaJlAec9uVM.aac,泪水打湿养浴吧，又麻又辣又想她。,0,1,非唱歌/朗诵,唱歌/朗诵,Step3：短句押韵，节奏像歌词，含情感词“想她”。,误判
qEVohNqYAT0.aac,下辈子我一定还要和你成个家。,1,0,唱歌/朗诵,非唱歌/朗诵,普通日常感慨，无歌词化特征，Step7兜底判0。,误判
9nlseitqL7U.aac,居然给你背高在拼什么背好收集钞票，今天还有大金链完没中，咦。嘿嘿，我把我爸的保险姐都输了，那你妈呢，我妈气饱了，拜拜，我的身体会真的太快了。你刚才带我主播呢。,1,0,唱歌/朗诵,非唱歌/朗诵,混乱叙述加语气词，无节奏复现，Step7判0。,误判
nqOgtgFzzXk.aac,啊啊。OK，可离合呀，好棒。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7兜底：语气词加点评，无节奏复现。,误判
T7_9EnjS-gc.aac,中奖概率倍儿高，奖品野马跟儿好。嗯哎，不会唱了。,1,0,唱歌/朗诵,非唱歌/朗诵,Step1否定句排除；Step3前两句押韵但不含情感意象，属促销语；兜底判0。,误判
04n-2RiYBaQ.aac,感情里的怪卡，有铺垫就不尴尬。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7兜底：单句感慨，无押韵对仗、无衬词、无歌词结构。,误判
kTJy-zMCbsI.aac,不如穿口气吧，小大人真心很贵。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7兜底：单句网络流行语，无押韵对仗、无歌词结构。,误判
