voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
Dwk6fA7eg1M.aac,哈喽哈喽，队友有麦打不打？,0,1,非社交互动,社交互动,Step5：说话人本人发起游戏组队邀请，核心意图为社交互动。,误判
aPIeScdQ9yg.aac,哈喽哈喽，队友有麦打不打呀？,0,1,非社交互动,社交互动,Step1命中社交邀请（打游戏），Step5核心是本人发起组队请求，判1。,误判
ID-7OHrjbkg.aac,我真的招了，有没有人帮帮我，真的管不了了。,0,1,非社交互动,社交互动,Step1命中“帮帮我”（互动请求词），Step2-4未排除，Step5核心是本人向听众发起求助互动，判1。,误判
PRLplqURlTY.aac,要不然我们小时候炒过韭菜，做过茄汁儿，三分你做三分我炒菜热气腾腾。,1,0,社交互动,非社交互动,无社交相关词，Step1判0,误判
oueJhIfD8p4.aac,,1,0,社交互动,非社交互动,文本为空，无社交相关词汇（Step1），直接判0。,误判
1ah-UOo0eEA.aac,我靠我声音好难听啊，让我听听你们萌妹子的声音吧，让我羡慕羡慕。,1,0,社交互动,非社交互动,Step1：无明确社交召唤词（“让我听听”不在列表），核心是自嘲并请求听声音，但未构成具体社交邀约，判0。,误判
kGyf8mVj9Zw.aac,啊啊啊啊啊不能再说。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，感叹/拒绝，判0。,误判
RWanLryDO3s.aac,Ok呀宝子，看起来也只能我一个人能发语音了。,1,0,社交互动,非社交互动,Step1：无社交相关词汇（“宝子”为称呼，非社交请求词），直接判0。,误判
SkcMIboQxlA.aac,三明治三明治。,1,0,社交互动,非社交互动,Step1：未出现社交相关词汇，直接判0。,误判
BX03yC2igos.aac,你不是会弄吗？,1,0,社交互动,非社交互动,Step1：未出现社交相关词汇，直接判0。,误判
bcI1Ko2vpl0.aac,姐姐分个两批给你，不不不不不不不。,1,0,社交互动,非社交互动,Step1：未出现社交相关词汇，直接判0。,误判
oTCOOdoh0M4.aac,啊所以呢，哭完了吗？哭完我挂了。,1,0,社交互动,非社交互动,Step1：未出现社交相关词汇，直接判0。,误判
r7PPYzKb8Jc.aac,我从来都没会输。,1,0,社交互动,非社交互动,Step1：未出现社交相关词汇，直接判0。,误判
2IaCELoBUww.aac,来个肘子，我是辣条。,1,0,社交互动,非社交互动,Step3：符合谐音梗/反差自我介绍模板，归搞笑/玩梗，判0。,误判
Ll0BwCg2aks.aac,姐姐放个奶片给你，不不不不不。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，直接判0。,误判
RGXJL-svv0M.aac,来个正太，我是扭腰。,1,0,社交互动,非社交互动,Step3第3条：符合谐音梗/反差自我介绍模板，归搞笑/玩梗，判0。,误判
6iP_L59aEco.aac,我去我去快手竟然可以发语音了，谁来跟我语音聊天呀。,0,1,非社交互动,社交互动,Step1命中社交邀请短语（语音聊天）；Step2排除叙述/评价；Step3非歌词/玩梗；Step4无竞争意图；Step5核心是发起语音聊天请求，判1。,误判
UPRW6eTotgY.aac,为什么没有台湾的人发音让我听一听啊，感觉很可爱诶。,1,0,社交互动,非社交互动,Step1：未出现社交召唤词列表中的词汇，直接判0。,误判
XxZ1-Wmepus.aac,哈喽哈喽，队友有麦打不打？,0,1,非社交互动,社交互动,Step1命中社交召唤词'打不打'，Step5确认核心是发起组队请求，判1。,误判
ExyAuoUAGzA.aac,其实我也是这样想的，然后我朋友的他们更新了还是没有。,1,0,社交互动,非社交互动,Step1：未出现社交相关词汇，直接判0。,误判
vAK6ggXxyVY.aac,哦在这特别的日子里怎么办我唱不来呀。,1,0,社交互动,非社交互动,Step1无社交相关词汇，直接判0。,误判
3GKhUkfhh0c.aac,宝贝开心一点。,1,0,社交互动,非社交互动,Step1无社交相关词汇，仅为安慰，判0。,误判
nYwMmbOLpWM.aac,算姐姐没用。,1,0,社交互动,非社交互动,Step1：文本为自嘲，无社交相关词汇，直接判0。,误判
yWY9kinV8w4.aac,不要再笑了，快点来帮我，哈哈哈哈哈哈哈，我自己也好想笑啊。,0,1,非社交互动,社交互动,Step1命中“来帮我”（互动请求词），Step2-4排除，Step5核心是本人请求帮助，判1。,误判
QT0LycjhE1Y.aac,我有诶我有诶。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，判0。,误判
vABGYtjuYhc.aac,嘿嘿嘿，我自己，嗯嘿嘿嘿嘿嘿，嗯啥子。,1,0,社交互动,非社交互动,未出现社交相关词汇，根据Step1判0。,误判
tddSFrrh6o0.aac,啊来个福，我是瑞。,1,0,社交互动,非社交互动,Step3-3：符合谐音梗/反差自我介绍模板（“来个XX，我是XX”），归搞笑/玩梗，判0。,误判
YM6aE6Z7-_Y.aac,我竟然是第一个。,1,0,社交互动,非社交互动,Step1：无社交相关词汇，判0。,误判
