voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
#NAME?,叫哥哥太小了，叫叔叔太老了，叫妈妈性别又不对，那你应该叫我什么呢？,0,1,非提问/互动,提问/互动,Step1命中：有疑问词'什么'和问号，且是真心询问对方应该怎么称呼，无攻击或修辞，判1。,误判
y7ln9eZcjX4.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈性别不对，你仔细想想你应该叫我什么？,0,1,非提问/互动,提问/互动,Step1有问号，Step2-5无排除，Step6核心意图是真心提问期待回答。,误判
zDNT7Jtnv_s.aac,唉还有谁发不了语音呢，不好意思我可以发。,1,0,提问/互动,非提问/互动,Step6: 疑问句自问自答，核心是炫耀自己能发，非真心提问，判0。,误判
BDx3NJS_5p8.aac,叫哥哥太小了，叫叔叔太老了，你应该怎么叫我呢？嘿嘿嘿。,0,1,非提问/互动,提问/互动,Step1有疑问词和问号，Step2-5均排除，Step6核心为真心询问对方如何称呼，期待回答，判1。,误判
gMdX2fo5sPs.aac,宝宝我是极品甜妹音，然后我不小心被蜜蜂蛰成了五百斤，我们见面的时候你不要害怕呀宝宝，你不会嫌弃我吧。,1,0,提问/互动,非提问/互动,Step1：无问号/列表内疑问词（“吧”不在列表），直接判0。,误判
PKDYZFr5Zlg.aac,我评论区能说话，你气不气？,0,1,非提问/互动,提问/互动,有疑问词“气不气”和问号，非攻击/吐槽/修辞，核心是挑衅式互动，期待回应，Step6判1。,误判
DrlF0LQUaEk.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈性格不对，那我想想应该叫什么呢？,0,1,非提问/互动,提问/互动,有疑问词“什么”和问号，真心询问称呼，非排除项，Step6判1。,误判
On8IRuSqYgg.aac,叫哥哥太小了，叫叔叔太老了，叫妈妈性别不对，到底该叫什么呢？,0,1,非提问/互动,提问/互动,有疑问词“什么”和问号，真心询问称呼，非排除项，Step6判1。,误判
Hft1Wcl2hUQ.aac,嘶嘶嗯嘶，哭完了吗？哭完挂了。,0,1,非提问/互动,提问/互动,有疑问词“吗”和问号，真心询问对方是否哭完，期待回应，Step6判1。,误判
Pv0fKa_77L0.aac,小哥哥太小了，小叔叔太老了，小爸爸性别不对，仔细想想你该叫我什么？,0,1,非提问/互动,提问/互动,Step1有疑问词'什么'，非攻击/吐槽/修辞，真心期待对方回答称呼。,误判
