voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
WuXf5Bg1K2o.aac,中奖概率倍儿高，奖品验码倍儿好，手机钞票，奔驰金票，还有大金老停，中奖倍儿低。倍儿高奖品也好，倍儿好，手机钞票，奔驰金枪，还有大金刚完美中。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第4条：夸张堆砌对仗式喊麦体广告，内容荒诞滑稽。,误判
Uo0_bouLmdY.aac,都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第4条：类似喊麦体堆砌，荒诞广告文案，具备玩梗意图。,误判
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖广告，无搞笑结构，Step10判0。,误判
FDdyR0bRGKc.aac,哎呦我去，你爸很潮啊。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第2条：明显调侃他人语气，带戏谑意味，主动制造笑点。,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖广告，无搞笑意图，Step10判0。,误判
n6IK_GqJE24.aac,笑死我了，你们这群没有更新的。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step1：独立成句的“笑死我了”，明确逗乐意图。,误判
6DzW9xQc8zc.aac,什么叫做5200，经常转一次比一次突破。这还是中国话吗？明明每个字我都认识组合在一起，我怎么就不认识了。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第2条：调侃网络用语，荒诞吐槽，主动制造笑点。,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,字数极短无特征，Step10判0。,误判
FtYuU8GohWs.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令抬令抬抬肥肥胖胖是太阳，鼓鼓囊囊是三缸。风风光光小路上三个吊郎当。一个志向要做栋梁，一个挖空心思经商，一个服务器，好的实在有点太夸张。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第4点：恶搞改编歌词/喊麦体广告，荒诞堆砌对仗句式。,误判
dBuWMoTEe3o.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待命，抬令抬抬鼠牛，功夫高虎兔胆气好。龙在左，蛇在右，马牙匆匆骑来到。猴鸡向着换猪狗来帮忙，哦，不对，搞错狗猪来帮忙。抓打小水晶，刚，抓打小水晶刚。肥肥胖胖是太阳，鼓鼓隆隆是山岗，红红火火小路上三个吊耳郎当。一个对象要做梁，一个研究空心司机舱，一个服务器好的实在有点夸张，呃，他这个。有一些错了，不歉不歉。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第4点：恶搞改编歌词/喊麦，荒诞堆砌且主动修正错误，以逗乐为目的。,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,单纯叫卖叙述，无搞笑成分。,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,简单重复叫卖，无搞笑意图。,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,搞笑/玩梗,非搞笑/玩梗,内容杂乱无明确搞笑结构，疑似随意发声，拿不准判0。,误判
7m4utLn0EY0.aac,奥特曼飞得慢，飞到凌晨三点半。,1,0,搞笑/玩梗,非搞笑/玩梗,简短顺口溜，无自嘲或明确调侃结构，拿不准判0。,误判
lsuzExbHzig.aac,卖三明治嘞，卖三明治嘞，走过路过不要错过，看看我们家最近新鲜的三明治。都是自己纯手工打造。,1,0,搞笑/玩梗,非搞笑/玩梗,普通叫卖，无搞笑意图。,误判
GvYkDOcmLSI.aac,sity spection。,1,0,搞笑/玩梗,非搞笑/玩梗,ASR无意义文本，无搞笑特征。,误判
mSS-hFtJBB4.aac,棉袄叔叔在练步机。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声依附于叙述，核心是陈述事实，非主动制造笑点。,误判
8pryz94qCPM.aac,卖扇贝吃喽，卖扇贝吃喽，看看，哈哈哈哈哈，卖扇贝吃喽。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声依附于叫卖，核心意图是叫卖，非逗乐。,误判
s5c26pF9vwo.aac,网恋被骗18块，从此分心不再。,1,0,搞笑/玩梗,非搞笑/玩梗,自嘲陈述，但无反转/夸张结构，语气平淡，不够成明显玩梗。,误判
KvGUwFpnrkQ.aac,哈哈哈哈。不行。不在。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声+简短回应，未形成独立逗乐短语，核心意图不明，倾向判0。,误判
9-CVoGqwDlc.aac,呃。啊，是关中王来了。点开这颗星，点亮这颗星。哥哥你在哪里？,1,0,搞笑/玩梗,非搞笑/玩梗,喊麦互动风格，无恶搞改编或荒诞元素，非玩梗。,误判
89bFcIPWNho.aac,哔哔喇叭，我的刀盾。,1,0,搞笑/玩梗,非搞笑/玩梗,游戏相关短句，无笑点。,误判
cpqnl5U8wYU.aac,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,1,0,搞笑/玩梗,非搞笑/玩梗,无笑声词，无搞笑结构，仅为描述现象，未命中任何规则，Step10判0。,误判
MTdas6JTfDo.aac,好，有较劲的语言。,1,0,搞笑/玩梗,非搞笑/玩梗,简短评论，无笑声词，无搞笑结构，Step10判0。,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声字符无实质内容，Step5排除，判0。,误判
QqmwcI18e5I.aac,嗯。嗯嗯，来来来瞧一瞧，看一看了，内蒙古羊肉串，一块钱一串，一块钱一串，买不了吃亏买不了上当。,1,0,搞笑/玩梗,非搞笑/玩梗,模仿叫卖但未恶搞，无自嘲反转或荒诞场景，无笑声词，Step10判0。,误判
9WDMaI6TgPw.aac,不是打的我成认字了是不。,1,0,搞笑/玩梗,非搞笑/玩梗,口语表达，无搞笑结构，无笑声词，Step10判0。,误判
FBwkSG38p4s.aac,来三明治，三明治好吃，要钱不好吃也要钱来。,1,0,搞笑/玩梗,非搞笑/玩梗,简单叫卖语句，无笑声词，无搞笑意图，Step10判0。,误判
