voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,单纯叫卖，无搞笑结构，按兜底判0。,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖内容，无搞笑意图，按兜底判0。,误判
n6IK_GqJE24.aac,笑死我了，你们这群没有更新的。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step1：出现'笑死我了'且有具体调侃对象'你们这群没有更新的'，主动逗乐。,误判
6DzW9xQc8zc.aac,什么叫做5200，经常转一次比一次突破。这还是中国话吗？明明每个字我都认识组合在一起，我怎么就不认识了。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第10条：网络流行吐槽句式（每个字都认识但连起来不懂），主动制造笑点。,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无意义，无搞笑结构，按兜底判0。,误判
-u1iZXSM4_M.aac,叫哥哥太小了。叫叔叔太老了。俏猫猫，性别又不对。那你应该叫我什么呢？,1,0,搞笑/玩梗,非搞笑/玩梗,普通询问称呼，无搞笑结构或笑声词，未命中任何规则。,误判
FtYuU8GohWs.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令抬令抬抬肥肥胖胖是太阳，鼓鼓囊囊是三缸。风风光光小路上三个吊郎当。一个志向要做栋梁，一个挖空心思经商，一个服务器，好的实在有点太夸张。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2-6：恶搞改编歌词，加入荒诞描述（肥肥胖胖是太阳等），制造反差笑点。,误判
dBuWMoTEe3o.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待命，抬令抬抬鼠牛，功夫高虎兔胆气好。龙在左，蛇在右，马牙匆匆骑来到。猴鸡向着换猪狗来帮忙，哦，不对，搞错狗猪来帮忙。抓打小水晶，刚，抓打小水晶刚。肥肥胖胖是太阳，鼓鼓隆隆是山岗，红红火火小路上三个吊耳郎当。一个对象要做梁，一个研究空心司机舱，一个服务器好的实在有点夸张，呃，他这个。有一些错了，不歉不歉。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2-6：恶搞改编歌词，加入生肖乱序和自纠错，荒诞滑稽。,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,单纯叫卖，无搞笑意图。,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,重复叫卖，无搞笑意图。,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,搞笑/玩梗,非搞笑/玩梗,无明确搞笑结构，无法识别具体梗，仅重复音节。,误判
T1tXGprk8bw.aac,泪水打湿数据线，我去好像会倒电。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2-10：网络流行押韵顺口溜，荒诞反转（数据线倒电），主动制造笑点。,误判
lsuzExbHzig.aac,卖三明治嘞，卖三明治嘞，走过路过不要错过，看看我们家最近新鲜的三明治。都是自己纯手工打造。,1,0,搞笑/玩梗,非搞笑/玩梗,普通叫卖，无搞笑结构。,误判
GvYkDOcmLSI.aac,sity spection。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义文本，无搞笑意图。,误判
mSS-hFtJBB4.aac,棉袄叔叔在练步机。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声依附于叙述，核心是描述场景，未主动构造笑点，判0。,误判
8pryz94qCPM.aac,卖扇贝吃喽，卖扇贝吃喽，看看，哈哈哈哈哈，卖扇贝吃喽。,1,0,搞笑/玩梗,非搞笑/玩梗,Step7：笑声依附于叫卖核心意图，非主动逗乐。,误判
s5c26pF9vwo.aac,网恋被骗18块，从此分心不再。,1,0,搞笑/玩梗,非搞笑/玩梗,简短叙述，缺乏具体搞笑结构支撑，拿不准判0，Step9兜底。,误判
KvGUwFpnrkQ.aac,哈哈哈哈。不行。不在。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声后接简短回复，无具体内容支撑逗乐意图，Step5排除，判0。,误判
9-CVoGqwDlc.aac,呃。啊，是关中王来了。点开这颗星，点亮这颗星。哥哥你在哪里？,1,0,搞笑/玩梗,非搞笑/玩梗,类似直播互动喊麦，无明确搞笑结构，Step9兜底判0。,误判
89bFcIPWNho.aac,哔哔喇叭，我的刀盾。,1,0,搞笑/玩梗,非搞笑/玩梗,简短游戏/喊麦用语，无搞笑结构，Step9兜底判0。,误判
cpqnl5U8wYU.aac,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：普通描述性语句，无搞笑结构或笑声词，不满足任何判1条件。,误判
MTdas6JTfDo.aac,好，有较劲的语言。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：简短评价，无搞笑结构或笑声词。,误判
tTtwjKb_-WE.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令台令台台。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2第6条：恶搞改编歌词，结尾“令台令台台”为荒诞模仿乐器声，制造反差笑点。,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,搞笑/玩梗,非搞笑/玩梗,Step5：纯拟声字符，无独立语义和搞笑意图。,误判
QqmwcI18e5I.aac,嗯。嗯嗯，来来来瞧一瞧，看一看了，内蒙古羊肉串，一块钱一串，一块钱一串，买不了吃亏买不了上当。,1,0,搞笑/玩梗,非搞笑/玩梗,Step2排除：单纯模仿叫卖，非主动构造笑点，且无反转或荒诞结构。,误判
9WDMaI6TgPw.aac,不是打的我成认字了是不。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：疑似口误或方言，无搞笑结构或笑声词。,误判
FBwkSG38p4s.aac,来三明治，三明治好吃，要钱不好吃也要钱来。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：简单陈述，无搞笑结构或笑声词。,误判
ortTAwxZdtI.aac,哈哈。哈哈哈哈哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,Step5：纯拟声笑声字符，无独立语义和搞笑意图。,误判
gps9yYYl4PM.aac,哥哥我摔倒了，原来扶我一下吧，哥哥。哥哥摔倒了，人家摔倒了，快来扶一下吧，饿。,1,0,搞笑/玩梗,非搞笑/玩梗,Step2排除：单纯转述模仿网络挑战视频内容，非主动构造笑点。,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,Step9兜底：抱怨情绪，无搞笑结构或笑声词。,误判
ilhbM-ODuhU.aac,你要去下去。哼哼哼哼哼哼哼哼哼哼。放松，放松放松。,1,0,搞笑/玩梗,非搞笑/玩梗,Step5：拟声“哼哼”无独立语义，且无具体搞笑内容支撑。,误判
CPtYyTbcBuY.aac,属虎。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无上下文，无搞笑特征，Step9判0。,误判
UVRvIGzIEqw.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待，拎抬拎抬抬肥肥胖胖是太阳，鼓鼓囊囊是山岗。风风光光小路上三个大耳郎当一个志向要做栋梁，一个挖空心似金山。一个腹泻好的实在有点太夸张。,0,1,非搞笑/玩梗,搞笑/玩梗,恶搞改编歌词，荒诞堆砌对仗，符合Step2第6条（恶搞改编歌词制造荒诞效果）。,误判
Ov5e3TwKM7U.aac,我今天竟然带她走。我看没敢来。,1,0,搞笑/玩梗,非搞笑/玩梗,语句不通顺，无搞笑结构，Step9判0。,误判
