voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,纯叫卖，无搞笑结构或笑声词，不符合任何搞笑规则。,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖宣传，无搞笑意图。,误判
n6IK_GqJE24.aac,笑死我了，你们这群没有更新的。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step1：'笑死我了'有具体调侃对象，主动逗乐。,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无意义，无搞笑特征。,误判
FtYuU8GohWs.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令抬令抬抬肥肥胖胖是太阳，鼓鼓囊囊是三缸。风风光光小路上三个吊郎当。一个志向要做栋梁，一个挖空心思经商，一个服务器，好的实在有点太夸张。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第6条：恶搞改编歌词，荒诞对比制造笑点。,误判
dBuWMoTEe3o.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待命，抬令抬抬鼠牛，功夫高虎兔胆气好。龙在左，蛇在右，马牙匆匆骑来到。猴鸡向着换猪狗来帮忙，哦，不对，搞错狗猪来帮忙。抓打小水晶，刚，抓打小水晶刚。肥肥胖胖是太阳，鼓鼓隆隆是山岗，红红火火小路上三个吊耳郎当。一个对象要做梁，一个研究空心司机舱，一个服务器好的实在有点夸张，呃，他这个。有一些错了，不歉不歉。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第6条：恶搞改编歌词，荒诞拼贴，主动制造笑点。,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖陈述，无搞笑意图。,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖重复，无搞笑结构。,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,搞笑/玩梗,非搞笑/玩梗,重复音节，无明确搞笑结构或玩梗，核心意图不明。,误判
T1tXGprk8bw.aac,泪水打湿数据线，我去好像会倒电。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第11条：明确网络梗'泪水打湿数据线'改编，制造笑点。,误判
lsuzExbHzig.aac,卖三明治嘞，卖三明治嘞，走过路过不要错过，看看我们家最近新鲜的三明治。都是自己纯手工打造。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖宣传，无搞笑意图。,误判
GvYkDOcmLSI.aac,sity spection。,1,0,搞笑/玩梗,非搞笑/玩梗,无意义短句，无搞笑特征。,误判
8pryz94qCPM.aac,卖扇贝吃喽，卖扇贝吃喽，看看，哈哈哈哈哈，卖扇贝吃喽。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声依附于叫卖核心意图，非主动制造笑点，符合Step7。,误判
KvGUwFpnrkQ.aac,哈哈哈哈。不行。不在。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声后简短回应，无具体内容支撑，归为简短回复判0。,误判
9-CVoGqwDlc.aac,呃。啊，是关中王来了。点开这颗星，点亮这颗星。哥哥你在哪里？,1,0,搞笑/玩梗,非搞笑/玩梗,无法明确识别具体梗，无搞笑结构，核心意图不明。,误判
89bFcIPWNho.aac,哔哔喇叭，我的刀盾。,1,0,搞笑/玩梗,非搞笑/玩梗,无明确搞笑结构或玩梗，可能游戏术语，非主动逗乐。,误判
cpqnl5U8wYU.aac,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,1,0,搞笑/玩梗,非搞笑/玩梗,语义不清，无明确搞笑意图。Step9判0。,误判
MTdas6JTfDo.aac,好，有较劲的语言。,1,0,搞笑/玩梗,非搞笑/玩梗,简短无意义，无搞笑结构。Step9判0。,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声词，无语义，无搞笑意图。Step9判0。,误判
9WDMaI6TgPw.aac,不是打的我成认字了是不。,1,0,搞笑/玩梗,非搞笑/玩梗,语义不明，无搞笑结构。Step9判0。,误判
ortTAwxZdtI.aac,哈哈。哈哈哈哈哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,纯笑声无内容支撑，Step5排除，判0。,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨/吐槽，无笑声或搞笑结构。Step9判0。,误判
ilhbM-ODuhU.aac,你要去下去。哼哼哼哼哼哼哼哼哼哼。放松，放松放松。,1,0,搞笑/玩梗,非搞笑/玩梗,命令+哼声，无搞笑结构。Step9判0。,误判
CPtYyTbcBuY.aac,属虎。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无意义，无搞笑意图。Step9判0。,误判
UVRvIGzIEqw.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待，拎抬拎抬抬肥肥胖胖是太阳，鼓鼓囊囊是山岗。风风光光小路上三个大耳郎当一个志向要做栋梁，一个挖空心似金山。一个腹泻好的实在有点太夸张。,0,1,非搞笑/玩梗,搞笑/玩梗,恶搞改编歌词，后半段荒诞滑稽，符合Step2第6条，主动制造笑点。,误判
Ov5e3TwKM7U.aac,我今天竟然带她走。我看没敢来。,1,0,搞笑/玩梗,非搞笑/玩梗,语义不明，无搞笑结构。Step9判0。,误判
T96Cv0q40jE.aac,我听见你心中那动人的偏爱，就忽如一夜春风袭来，满院桃花开，我忍不住去采。我忍不住去猜我敞开胸怀为你等待，硬抬硬抬头肥肥胖胖是太阳，孤孤单单是山岗。风风光光小路上三个吊儿郎当。一个对象要做栋梁，一个挖坑心死金伤，一个福气好的实在有点太夸张。,0,1,非搞笑/玩梗,搞笑/玩梗,恶搞改编歌词，荒诞内容，符合Step2第6条，主动制造笑点。,误判
k39sNROxshM.aac,不是干嘛啊，播真的没招了。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨/无奈，无搞笑结构。Step9判0。,误判
_vfsP4u1NEE.aac,猜名字，猜名字看一下吧。有点害羞哦，三明治。三明治在睡觉，周末有教室。想买的话可。先把他们。芭蕉香，OK。,1,0,搞笑/玩梗,非搞笑/玩梗,语义混乱，无明确搞笑结构。Step9判0。,误判
Cejfrx3brrk.aac,哼哼哼。我不。,1,0,搞笑/玩梗,非搞笑/玩梗,简单拒绝，无搞笑意图。Step9判0。,误判
zCoTvSpDzaE.aac,可以给你吗？你是什么？,1,0,搞笑/玩梗,非搞笑/玩梗,疑问句，无搞笑结构。Step9判0。,误判
2aPG0zZ8h9g.aac,叫哥哥。,1,0,搞笑/玩梗,非搞笑/玩梗,命令式，无搞笑意图。Step9判0。,误判
RAyAYUOXo3k.aac,我非要去下载玩吃鸡。,1,0,搞笑/玩梗,非搞笑/玩梗,表达意愿，无搞笑结构。Step9判0。,误判
3Y9oElNxNOg.aac,特别神奇，发育音还在唱歌。我听着语音蹦不出了啊。,1,0,搞笑/玩梗,非搞笑/玩梗,叙述现象，'蹦不出了'非标准逗乐短语，无主动制造笑点，Step9判0。,误判
g2anZjJ8Ds8.aac,别闹叔叔再连夫妻。嗯嗯。,1,0,搞笑/玩梗,非搞笑/玩梗,简短对话，无搞笑结构或玩梗迹象，Step9判0。,误判
Rcv5OizStZY.aac,恭喜你兄弟成功的被我恭喜到了啊，记住吃饭要用嘴，走路要用腿。废话说的是屁话，屁话说的是废话，所以我现在既没有说废话也没有说屁话，所以我说白了，我白说了，我不说了。听到这条语音的人，我会浪费你的时间，所以你再不要听后面了。嗯，对，如果你还想继续停下去的话，那就就停吧，因为我已经浪费你很多时间了。,0,1,非搞笑/玩梗,搞笑/玩梗,荒诞废话文学，自嘲式反转，主动制造笑点，命中Step2荒诞场景描述。,误判
e3N1FYn5My8.aac,真是服了这个KK键盘了，什么恶臭的语音，一说话就开始唱歌。搞得我们同学他们都嫌弃了，好吧，家人们。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨吐槽，无搞笑意图或笑声词，Step9判0。,误判
gMdX2fo5sPs.aac,宝宝我是极品甜妹音，然后我不小心被蜜蜂捉成了。500斤，我们见面的时候你不要害怕呀，宝宝你不会嫌弃我吧。,0,1,非搞笑/玩梗,搞笑/玩梗,自嘲式反转：甜妹音被蜜蜂蛰成500斤，主动制造反差笑点，命中Step2自嘲式反转。,误判
tpyHh7tAvSE.aac,三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,极短无特征，无搞笑意图，Step9判0。,误判
