序号,p_date,comment_id,评论链接,comment_content,voice_asr_text,voice_duration,show_comment_cnt_td,direct_reply_comment_cnt_td,like_comment_cnt_td,dislike_comment_cnt_td,voice_resource_id,链接,内容分,音频分,优质判断,意图表达,评论内容和语音内容的关系,语音音频和语音asr文本内容的关系,标注员
1.0,20260610.0,1132931260174.0,,笑死我了 唱着唱着舌头捋不直了,中奖概率倍儿高，奖品验码倍儿好，手机钞票，奔驰金票，还有大金老停，中奖倍儿低。倍儿高奖品也好，倍儿好，手机钞票，奔驰金枪，还有大金刚完美中。,16759.0,56812.0,40.0,601.0,1.0,WuXf5Bg1K2o.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
2.0,20260609.0,1133356674492.0,,这样？[色][猪蹄],都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,6572.0,56793.0,95.0,1123.0,4.0,Uo0_bouLmdY.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
3.0,20260610.0,1129136563749.0,,快手真的可以发语音[玫瑰],快手真可以发语音啊。,2432.0,56635.0,43.0,145.0,2.0,cHj9wSavQok.aac,,0.0,0.0,一般,发语音玩,相关-引导听评论,完全一致,孙素青
4.0,20260610.0,1138867610342.0,,,呃，所以说那个什么什么什么什么什，嗯，是到底是什么意思，有人能给我翻译一下吗？,6761.0,56401.0,19.0,191.0,3.0,U3-V5B6RvNU.aac,,1.0,1.0,优质,提问,无评论内容,语义相等内容有差异,孙素青
5.0,20260609.0,1138129137476.0,,可以发语音,爱有万分之一甜。宁愿我就葬在这一点。圈圈圆圆圈圈天天年年，天天的我深深看你的脸。,15316.0,56062.0,97.0,348.0,2.0,RPz1DcZbKyU.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
6.0,20260610.0,1134263366656.0,,换我的,来来来来，卖三明治，卖三明治。,4334.0,55927.0,18.0,30.0,2.0,AjpO4rOV2Tc.aac,,0.0,1.0,优质,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
7.0,20260610.0,1133170037255.0,,,上一秒我在台北看烟火，下一秒你在上海和某地口。你感觉我就像我感觉你世界上的另一个我，上一秒我在怕你落。大雨下一秒，你在蒙古天气，请你感觉我就像我感受你世界上的。另一个我。,31903.0,55288.0,72.0,1219.0,2.0,EL5g0wkN-wc.aac,,0.0,1.0,优质,唱歌/朗诵,无评论内容,语义相等内容有差异,孙素青
8.0,20260610.0,1137443813270.0,,有点跑调,怎不忍心怪你对我太多他。无时无刻，这是一种无法停止的去喜欢的。乌命根。扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。挡住了世俗神话的刁难，却扛不住对你的喜欢。,32754.0,55154.0,35.0,177.0,2.0,1XDfCh2MUdY.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
9.0,20260608.0,1135270781526.0,,确实有点难 容易跑调[憨笑哪吒],太独特。无时无刻像是一首无法停止的去循环的。无名格扛住了柴米油盐的麻烦。扛住了朋友聚会的调侃，扛住了世俗生活的刁难，却扛不住。对你的喜欢。,31017.0,55014.0,286.0,2332.0,4.0,jWIfIf4BAnw.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
10.0,20260610.0,1138428115545.0,,,哎呦我去，你爸很潮啊。,3955.0,54961.0,194.0,878.0,4.0,FDdyR0bRGKc.aac,,1.0,1.0,优质,夸赞/支持,无评论内容,语义相等内容有差异,孙素青
11.0,20260610.0,1138150583798.0,,我也来[奸笑],是谁把你带到人世间。是谁含辛茹苦把你吃喝穿。,10881.0,54939.0,93.0,505.0,0.0,R_WbR25jwnw.aac,,0.0,1.0,优质,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
12.0,20260610.0,1131151337754.0,,声音不好听勿喷[猪猪],哈喽宝贝们。你们好啊。,5316.0,54745.0,66.0,156.0,2.0,JkWnq6pB2-o.aac,,0.0,1.0,优质,发语音玩,相关-引导听评论,语义相等内容有差异,孙素青
13.0,20260610.0,1134392847684.0,,用我这个,卖神秘制的，非常好吃。,3188.0,54683.0,207.0,1084.0,4.0,_f6cHoag3tg.aac,,0.0,0.0,一般,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
14.0,20260610.0,1138596836093.0,,,呃，我也有啊。,2438.0,54669.0,10.0,70.0,4.0,8Z2ss-1H9yo.aac,,0.0,0.0,一般,发语音玩,无评论内容,语义相等内容有差异,孙素青
15.0,20260610.0,1131398310769.0,,无意间发现快手还有语音[闭嘴],我只求今朝有你入怀抱。红尘客栈。风似刀终于落宿命角。,14043.0,54498.0,104.0,1683.0,1.0,Zs8aWtmLprs.aac,,0.0,1.0,优质,唱歌/朗诵,相关-互为补充,语义相等内容有差异,孙素青
16.0,20260610.0,1132384005541.0,,[流鼻血][柴犬]受不了,笑死我了，你们这群没有更新的。,4062.0,54488.0,81.0,202.0,1.0,n6IK_GqJE24.aac,,0.0,0.0,一般,吐槽/批评,相关-互为补充,语义相等内容有差异,孙素青
17.0,20260610.0,1135850135083.0,,谁有,谁有指挥官，高价回收指挥官。,2859.0,54375.0,36.0,75.0,2.0,oroc6vPDKX0.aac,,1.0,1.0,优质,提问,相关-引导听评论,语义相等内容有差异,孙素青
18.0,20260610.0,1131069069691.0,,请你们听音乐[都市丽人][都市丽人],我在你面前也想与你共同寻觅苍茫。在每个黑夜里孤单夜里我会想起了回忆。,13149.0,54267.0,22.0,131.0,1.0,byKKpbf9WoY.aac,,0.0,0.0,一般,唱歌/朗诵,相关-引导听评论,语义相等内容有差异,孙素青
19.0,20260610.0,1138143040631.0,,我真的没嫉妒[做不完],什么叫做5200，经常转一次比一次突破。这还是中国话吗？明明每个字我都认识组合在一起，我怎么就不认识了。,11952.0,53950.0,16.0,161.0,2.0,6DzW9xQc8zc.aac,,0.0,1.0,优质,观点表达,相关-互为补充,语义相等内容有差异,孙素青
20.0,20260610.0,1133103493710.0,,简单[汗],你是我。,6226.0,53900.0,884.0,3381.0,1.0,fBDDoTeGvLQ.aac,,0.0,0.0,一般,玩梗/搞笑,相关-互为补充,不相关,孙素青
21.0,20260601.0,1131217176615.0,,极品辣条音[憨笑哪吒],叫哥哥太小了。叫叔叔太老了。俏猫猫，性别又不对。那你应该叫我什么呢？,12004.0,53254.0,135.0,630.0,4.0,-u1iZXSM4_M.aac,,0.0,0.0,一般,玩梗/搞笑,相关-引导听评论,语义相等内容有差异,孙素青
