voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,Step2排除：叫卖广告；Step10判0。,误判
_f6cHoag3tg.aac,卖神秘制的，非常好吃。,1,0,搞笑/玩梗,非搞笑/玩梗,Step2排除：叫卖广告；Step10判0。,误判
n6IK_GqJE24.aac,笑死我了，你们这群没有更新的。,0,1,非搞笑/玩梗,搞笑/玩梗,Step1命中：出现独立成句的'笑死我了'，表达被逗笑，非吐槽抱怨语境。,误判
fBDDoTeGvLQ.aac,你是我。,1,0,搞笑/玩梗,非搞笑/玩梗,Step10：极短且无特征，判0。,误判
FtYuU8GohWs.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开。我忍不住去采，我忍不住去摘。我敞开胸怀为你等待，令抬令抬抬肥肥胖胖是太阳，鼓鼓囊囊是三缸。风风光光小路上三个吊郎当。一个志向要做栋梁，一个挖空心思经商，一个服务器，好的实在有点太夸张。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2-4：网络押韵梗/顺口溜，荒诞场景描述，主动制造笑点。,误判
dBuWMoTEe3o.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待命，抬令抬抬鼠牛，功夫高虎兔胆气好。龙在左，蛇在右，马牙匆匆骑来到。猴鸡向着换猪狗来帮忙，哦，不对，搞错狗猪来帮忙。抓打小水晶，刚，抓打小水晶刚。肥肥胖胖是太阳，鼓鼓隆隆是山岗，红红火火小路上三个吊耳郎当。一个对象要做梁，一个研究空心司机舱，一个服务器好的实在有点夸张，呃，他这个。有一些错了，不歉不歉。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2-4：网络押韵梗/顺口溜，荒诞改编，主动制造笑点。,误判
DB_V2wjsRKQ.aac,三明治，三明治，我在买新鲜的三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,Step10：叫卖广告，核心是推销，非搞笑。,误判
8jb_NAonngk.aac,三明治，三明治卖，三明治，三明治。,1,0,搞笑/玩梗,非搞笑/玩梗,Step10：叫卖广告，无搞笑结构。,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,搞笑/玩梗,非搞笑/玩梗,Step10：拟声重复，无明确搞笑结构，核心意图不明。,误判
T1tXGprk8bw.aac,泪水打湿数据线，我去好像会倒电。,0,1,非搞笑/玩梗,搞笑/玩梗,Step2-4：网络押韵梗（泪水打湿XX），主动玩梗。,误判
lsuzExbHzig.aac,卖三明治嘞，卖三明治嘞，走过路过不要错过，看看我们家最近新鲜的三明治。都是自己纯手工打造。,1,0,搞笑/玩梗,非搞笑/玩梗,Step10：叫卖广告，核心是推销，非搞笑。,误判
GvYkDOcmLSI.aac,sity spection。,1,0,搞笑/玩梗,非搞笑/玩梗,Step10：无意义文本，无搞笑结构。,误判
mSS-hFtJBB4.aac,棉袄叔叔在练步机。哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,Step7：笑声依附于叙述，核心是陈述事实，非主动制造笑点。,误判
8pryz94qCPM.aac,卖扇贝吃喽，卖扇贝吃喽，看看，哈哈哈哈哈，卖扇贝吃喽。,1,0,搞笑/玩梗,非搞笑/玩梗,Step7：笑声依附于叫卖，核心是推销，非搞笑。,误判
KvGUwFpnrkQ.aac,哈哈哈哈。不行。不在。,1,0,搞笑/玩梗,非搞笑/玩梗,笑声依附于其他意图（拒绝/陈述），无独立逗乐结构，按Step7/Step10判0。,误判
9-CVoGqwDlc.aac,呃。啊，是关中王来了。点开这颗星，点亮这颗星。哥哥你在哪里？,1,0,搞笑/玩梗,非搞笑/玩梗,直播互动，无搞笑结构，按Step10判0。,误判
89bFcIPWNho.aac,哔哔喇叭，我的刀盾。,1,0,搞笑/玩梗,非搞笑/玩梗,游戏术语/喊话，无搞笑结构，按Step10判0。,误判
cpqnl5U8wYU.aac,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,1,0,搞笑/玩梗,非搞笑/玩梗,无搞笑结构，核心是描述语音转写效果，非主动制造笑点（Step10兜底判0）,误判
MTdas6JTfDo.aac,好，有较劲的语言。,1,0,搞笑/玩梗,非搞笑/玩梗,简短评价，无搞笑结构（Step10兜底判0）,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声字符，无实质内容（Step5排除判0）,误判
QqmwcI18e5I.aac,嗯。嗯嗯，来来来瞧一瞧，看一看了，内蒙古羊肉串，一块钱一串，一块钱一串，买不了吃亏买不了上当。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖广告，核心是推销不是逗乐（Step10兜底判0）,误判
9WDMaI6TgPw.aac,不是打的我成认字了是不。,1,0,搞笑/玩梗,非搞笑/玩梗,语义不明，无搞笑结构（Step10兜底判0）,误判
FBwkSG38p4s.aac,来三明治，三明治好吃，要钱不好吃也要钱来。,1,0,搞笑/玩梗,非搞笑/玩梗,叫卖/简单陈述，无搞笑结构（Step10兜底判0）,误判
ortTAwxZdtI.aac,哈哈。哈哈哈哈哈哈哈。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声笑声，无独立语义短语（Step5排除判0）,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨/吐槽，核心是表达不满，非制造笑点（Step10兜底判0）,误判
ilhbM-ODuhU.aac,你要去下去。哼哼哼哼哼哼哼哼哼哼。放松，放松放松。,1,0,搞笑/玩梗,非搞笑/玩梗,无明确搞笑结构，哼哼为拟声，核心非逗乐（Step10兜底判0）,误判
CPtYyTbcBuY.aac,属虎。,1,0,搞笑/玩梗,非搞笑/玩梗,极短且无特征，未命中任何规则，按Step10判0。,误判
UVRvIGzIEqw.aac,我听见你心中那动人的天籁，就忽如一夜春风袭来，满面桃花开，我忍不住去采。我忍不住去摘我敞开胸怀为你等待，拎抬拎抬抬肥肥胖胖是太阳，鼓鼓囊囊是山岗。风风光光小路上三个大耳郎当一个志向要做栋梁，一个挖空心似金山。一个腹泻好的实在有点太夸张。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第5条：恶搞改编歌词，以《最炫民族风》为底本替换荒诞内容，主动制造笑点。,误判
Ov5e3TwKM7U.aac,我今天竟然带她走。我看没敢来。,1,0,搞笑/玩梗,非搞笑/玩梗,普通叙述，无搞笑结构，按Step10判0。,误判
T96Cv0q40jE.aac,我听见你心中那动人的偏爱，就忽如一夜春风袭来，满院桃花开，我忍不住去采。我忍不住去猜我敞开胸怀为你等待，硬抬硬抬头肥肥胖胖是太阳，孤孤单单是山岗。风风光光小路上三个吊儿郎当。一个对象要做栋梁，一个挖坑心死金伤，一个福气好的实在有点太夸张。,0,1,非搞笑/玩梗,搞笑/玩梗,命中Step2第5条：恶搞改编歌词，以《最炫民族风》为底本替换荒诞内容，主动制造笑点。,误判
k39sNROxshM.aac,不是干嘛啊，播真的没招了。,1,0,搞笑/玩梗,非搞笑/玩梗,抱怨语气，无搞笑结构，按Step10判0。,误判
_vfsP4u1NEE.aac,猜名字，猜名字看一下吧。有点害羞哦，三明治。三明治在睡觉，周末有教室。想买的话可。先把他们。芭蕉香，OK。,1,0,搞笑/玩梗,非搞笑/玩梗,自言自语或直播内容，无搞笑结构，按Step10判0。,误判
Cejfrx3brrk.aac,哼哼哼。我不。,1,0,搞笑/玩梗,非搞笑/玩梗,纯拟声字符无实质内容，且无独立语义逗乐短语，按Step5排除判0。,误判
zCoTvSpDzaE.aac,可以给你吗？你是什么？,1,0,搞笑/玩梗,非搞笑/玩梗,普通疑问句，无搞笑结构，按Step10判0。,误判
2aPG0zZ8h9g.aac,叫哥哥。,1,0,搞笑/玩梗,非搞笑/玩梗,简短指令，无搞笑结构，按Step10判0。,误判
RAyAYUOXo3k.aac,我非要去下载玩吃鸡。,1,0,搞笑/玩梗,非搞笑/玩梗,陈述意愿，无搞笑结构，按Step10判0。,误判
3Y9oElNxNOg.aac,特别神奇，发育音还在唱歌。我听着语音蹦不出了啊。,1,0,搞笑/玩梗,非搞笑/玩梗,Step1排除：'蹦不出了'非标准逗乐短语，且核心是吐槽变声器，无搞笑结构。Step10判0。,误判
