voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
oroc6vPDKX0.aac,谁有指挥官高价回收指挥官。,1,0,提问/互动,非提问/互动,Step1有疑问词“谁”；Step4：无问号，疑问词嵌在陈述句中，整体不构成发问，判0。,误判
zDNT7Jtnv_s.aac,唉还有谁发不了语音呢，不好意思我可以发。,1,0,提问/互动,非提问/互动,Step5：自问自夸式反问，核心是炫耀而非求答案，判0。,误判
Hft1Wcl2hUQ.aac,嘶嘶嗯嘶，哭完了吗？哭完挂了。,0,1,非提问/互动,提问/互动,Step5：有疑问词“吗”，真心询问对方是否哭完，期待回答，非攻击性/修辞。,误判
I8Kmvkxlh0Q.aac,你在听什么？我什么也没说。,0,1,非提问/互动,提问/互动,Step5 疑问句清晰，真心询问对方在听什么，无排除理由,误判
ID-7OHrjbkg.aac,我真的招了，有没有人帮帮我，真的管不了了。,0,1,非提问/互动,提问/互动,真心求助，期待回应，Step5判1。,误判
xb8OhZ5AS6U.aac,向下往后拉，向下往后拉，向下往后拉，向下往后拉，是在吗？,0,1,非提问/互动,提问/互动,Step1命中疑问词'吗'和问号，语义清晰询问是否在线，无排除条件，判1。,误判
zccvHlrUXXc.aac,谁能告诉我这个变声器咋关了啊啊啊啊啊啊啊我真不行啊。,0,1,非提问/互动,提问/互动,Step5：真心求助如何关闭变声器，期待回答，判1。,误判
P_zz6P2BwdU.aac,快手能用语音？,0,1,非提问/互动,提问/互动,Step5：真心询问功能，非吐槽或修辞反问，判1。,误判
vQi4Fu55Hxs.aac,到底咋弄啊，救救我，我买了这个变声器弄不回去了，咋弄啊，而且冷的时候还唱歌。,0,1,非提问/互动,提问/互动,Step5：真心求助，有疑问词'咋'，非吐槽或修辞反问，判1。,误判
dIWQR6uDzS4.aac,不在意哥哥算账单吗？哥哥没用，哥哥希望你能一直也爱我。,0,1,非提问/互动,提问/互动,Step5：真心询问对方是否在意，期待回应，属于互动提问。,误判
8ckNuePZ6kI.aac,想我了吗？我的小女朋友。,0,1,非提问/互动,提问/互动,Step5：真心询问对方是否想念，期待回应，属于互动提问。,误判
qQ7Ik_sFoWA.aac,我九块九买的变声器好听吗？,0,1,非提问/互动,提问/互动,Step5：主动征求对方对自己变声器的评价，属于求反馈，算真提问。,误判
HrR6HmmZmnk.aac,中奖概率倍儿高，奖品也满倍儿好，手机钞票不值钱，还有哪些老铁。,0,1,非提问/互动,提问/互动,Step1命中疑问词“哪些”，Step2-5未排除，语义为真心询问还有哪些老铁，判1。,误判
IDqm4yh7Lfo.aac,王者拍段子有人吗？,0,1,非提问/互动,提问/互动,Step1命中疑问词“吗”和问号，Step2-5未排除，真心询问是否有人，判1。,误判
5OuMQRjFgGY.aac,不再依赖姐姐算长大吗？,0,1,非提问/互动,提问/互动,Step1命中疑问词“吗”和问号；Step2-5未排除，语义清晰真心求问，判1。,误判
u5Mi8lltbYs.aac,朱迪为什么我接不了电话呀朱迪，唉急死我了急死我了，唉朱迪朱迪我接不了电话呀朱迪我急死我了唉呀唉。,0,1,非提问/互动,提问/互动,Step1命中疑问词“为什么”；Step2-5未排除，真心求助原因，判1。,误判
7CEtrysJbgw.aac,你们可以支持一下新作品吗啊？,0,1,非提问/互动,提问/互动,Step1命中疑问词'吗'，Step2-5未排除，真心请求支持并期待回应，判1。,误判
Uv92nlKE17k.aac,谁能告诉我这个变声器咋关啊，我真不行了。,0,1,非提问/互动,提问/互动,Step1命中疑问词'谁''咋'，Step2-5未排除，真心求助，判1。,误判
lN5-OCS0rJw.aac,这评论区都在说些啥梦话？,1,0,提问/互动,非提问/互动,Step3：吐槽式反问，不期待回答。,误判
VyNyQAhB9xA.aac,哈喽能听到吗？你们有没有啊，我已经有了，今天放学回来有啦。,0,1,非提问/互动,提问/互动,Step1命中（问号、疑问词“吗”“有没有”），非攻击/吐槽，真诚询问对方情况，判1。,误判
