voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
Uo0_bouLmdY.aac,都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,1,0,唱歌/朗诵,非唱歌/朗诵,文本短且无整齐结构、无押韵重复，不满足歌词特征，兜底判0,误判
byKKpbf9WoY.aac,我在你面前也想与你共同寻觅苍茫。在每个黑夜里孤单夜里我会想起了回忆。,1,0,唱歌/朗诵,非唱歌/朗诵,两句较长，无整齐短句、无押韵重复，步5组合不足，兜底判0,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,唱歌/朗诵,非唱歌/朗诵,拟声词“嘟嘟嘟”和重复称呼“儿子”“奶奶”，最后口语问句，无歌词结构。,误判
dgqWNKcohoY.aac,你说你有点难追，想让我知难而退。,1,0,唱歌/朗诵,非唱歌/朗诵,引用歌词单句（两句实为一句歌词拆分），非主动唱歌，按Step7判0。,误判
B-oe20mUulw.aac,你的酒馆对我打了烊。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7：单句引用歌词名句，无法确认正在唱歌，判0。,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,唱歌/朗诵,非唱歌/朗诵,单句，无法确认是否为唱歌衬词，倾向判0。,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,唱歌/朗诵,非唱歌/朗诵,吐槽别人唱歌，自己未唱。,误判
Nd0yxPcUFGE.aac,哈喽everybody。sorry，我不喜欢女孩，sorry我不会哄男孩。,1,0,唱歌/朗诵,非唱歌/朗诵,两句，无押韵/歌词结构，普通表达。,误判
urdCJTXfTko.aac,怎么忍心怪你对我太独特。无时无刻像是一首无法停止单曲循环的。无名哥。,1,0,唱歌/朗诵,非唱歌/朗诵,仅2句，无押韵/排比，末尾'无名哥'像称呼，未满足歌词结构必要条件。,误判
j-hA5GerIq4.aac,不如喘口气吧，小大声。,1,0,唱歌/朗诵,非唱歌/朗诵,单句日常表达，无歌词结构或衬词，不满足任何规则。,误判
2Xi4dbvbwRg.aac,扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。,1,0,唱歌/朗诵,非唱歌/朗诵,Step3强制排除：仅2句网络鸡汤感慨，无衬词/自述，判0。,误判
HuWeWsDAwUI.aac,没有任何意义，其实你根本没爱过我老太公by luck。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7兜底：仅1句且无法确认歌词，判0。,误判
qEVohNqYAT0.aac,下辈子我一定还要和你成个家。,1,0,唱歌/朗诵,非唱歌/朗诵,单句日常感慨，无歌词结构特征，不满足任何判定规则。,误判
9nlseitqL7U.aac,居然给你背高在拼什么背好收集钞票，今天还有大金链完没中，咦。嘿嘿，我把我爸的保险姐都输了，那你妈呢，我妈气饱了，拜拜，我的身体会真的太快了。你刚才带我主播呢。,1,0,唱歌/朗诵,非唱歌/朗诵,杂乱吐槽式口语，无整齐断句、无押韵、无歌词结构。,误判
5Oq3dNUGQbo.aac,家人真心喊贵乖乖。不要什么都往心里去，没心没肺才能活得不累。真心很贵，你别放任性。感情很重，你别轻易卑微。,1,0,唱歌/朗诵,非唱歌/朗诵,网络鸡汤式说教，虽多句押韵但缺乏具体抒情意象，非唱歌朗诵。,误判
nqOgtgFzzXk.aac,啊啊。OK，可离合呀，好棒。,1,0,唱歌/朗诵,非唱歌/朗诵,语气词+普通评价，无歌词结构，Step7判0。,误判
T7_9EnjS-gc.aac,中奖概率倍儿高，奖品野马跟儿好。嗯哎，不会唱了。,1,0,唱歌/朗诵,非唱歌/朗诵,两句押韵促销语，但无对仗堆砌，且自述“不会唱”，Step1排除，Step3不满足，Step7判0。,误判
HOMfOV58Bvc.aac,泪水打湿火鸡面，发誓从此不相见。,1,0,唱歌/朗诵,非唱歌/朗诵,两句押韵但内容荒诞滑稽，属网络押韵梗（Step3排除），Step7判0。,误判
NeV9Yr5F_uE.aac,不如穿口气吧，小大人真心很乖乖乖，不要什么都往心里去，没心没肺才能活的不累。真心很贵，你别逢人就给。,1,0,唱歌/朗诵,非唱歌/朗诵,网络鸡汤句，内容为泛化人生道理，无具体场景抒情，且无衬词配合，Step3强制排除，判0。,误判
7yugIQb-_04.aac,感情里的怪她，有蝴蝶就不敢答。,1,0,唱歌/朗诵,非唱歌/朗诵,仅1句，虽像歌词但无法确认结构，按Step4排除，Step7判0。,误判
kl9Xl0F2GvY.aac,所以除了这个浴巾有啥子用哦，我想问一下。,0,异常,提问,解析错误,API 返回格式异常，无法解析,API异常
04n-2RiYBaQ.aac,感情里的怪卡，有铺垫就不尴尬。,1,异常,唱歌/朗诵,解析错误,API 返回格式异常，无法解析,API异常
6ginfclfpuU.aac,泪水将我淹没，到底谁该难过。究竟是谁放掉这段感情。,1,异常,唱歌/朗诵,解析错误,API 返回格式异常，无法解析,API异常
EqXGPuULt68.aac,妈妈31岁。11岁又健康的31岁谁要买给我直播间拉倒。,0,异常,玩梗/搞笑,解析错误,API 返回格式异常，无法解析,API异常
VLSvHCuuJhU.aac,你是我想的多，这种种的人从来不够做朋友，这世界大多让你拥抱多理由。慢慢让你感动，为些让你快乐的泪眸。怎么现实惹的这些，该懂的风，太热的却停不了，还在被动着。看时光任性快跑，随意纠缠着慢冷的人了，会自我折磨，有种冲动的人相爱挺。逐渐挽留这世界，她的让你很大度理由，那么让你温柔也让你最热热。啊。one，two，one，two，one，two，one，two，one，two，one，two，one。老婆老婆。,1,异常,唱歌/朗诵,解析错误,API 返回格式异常，无法解析,API异常
iENRM428CCw.aac,city sfiction,0,异常,玩梗/搞笑,解析错误,API 返回格式异常，无法解析,API异常
P9fMlw3w5VQ.aac,无时无刻像是一首无法停止单曲循环的。无名格扛住了柴米油盐的麻烦。扛住了朋友聚会的调侃，扛住了世俗生活的刁难，却扛不住。对你的喜欢。,1,异常,唱歌/朗诵,解析错误,API 返回格式异常，无法解析,API异常
kTJy-zMCbsI.aac,不如穿口气吧，小大人真心很贵。,1,异常,唱歌/朗诵,解析错误,API 返回格式异常，无法解析,API异常
toIt0oXf7GY.aac,当恩怨各一半。我怎么觉得看灯笼血红染，寻求已太晚。,1,异常,唱歌/朗诵,解析错误,API 返回格式异常，无法解析,API异常
_SEXkv3BAR0.aac,中奖概率倍儿高，奖品也码倍儿好，手机钞票本身今天还有大奖了。,1,异常,唱歌/朗诵,解析错误,API 返回格式异常，无法解析,API异常
0WfrHFdnXdY.aac,啊。啊啊。啊啊嘿。啊哈嘿。啊嘿。诶诶诶。你人节快乐。一道道的沟沟。抖音道道亮。,1,异常,玩梗/搞笑,解析错误,API 返回格式异常，无法解析,API异常
A8SIOG-TJ_k.aac,把手牵起来，只看自己喜欢的。路落水的路我的名字。江路无期。,0,异常,唱歌/朗诵,解析错误,API 返回格式异常，无法解析,API异常
3rdkZRqs3yI.aac,啊啊啊。啊。,0,异常,玩梗/搞笑,解析错误,API 返回格式异常，无法解析,API异常
S56THLPagNw.aac,哈哈哈哈。,0,异常,玩梗/搞笑,解析错误,API 返回格式异常，无法解析,API异常
UVCehPE4rM8.aac,你就说能嘟嘟不？,0,异常,提问,解析错误,API 返回格式异常，无法解析,API异常
fxDrqGDpTkU.aac,五时无刻像是一种无法停止的痴心妄动。无名的。扛住了柴米油盐的麻烦，扛住了朋友聚会的调侃。反正我吃醋生活的刁难，却扛不住对你的喜欢。,1,异常,唱歌/朗诵,解析错误,API 返回格式异常，无法解析,API异常
T-VhdltD-xg.aac,嗯。啊哈哈哈哈哈哈。嗯。哈哈哈。呵呵。哈哈哈哈。哈哈哈哈哈。,0,异常,发语音玩,解析错误,API 返回格式异常，无法解析,API异常
xb8OhZ5AS6U.aac,向下往后拉，向下，往后拉，往后拉，往后拉，再往后拉再往。,0,异常,发语音玩,解析错误,API 返回格式异常，无法解析,API异常
M8PPHBlukhI.aac,嗯嗯嗯嗯。嗯嗯嗯嗯。开开。,0,异常,发语音玩,解析错误,API 返回格式异常，无法解析,API异常
nJrelLw71kg.aac,爱是态度。,0,异常,发语音玩,解析错误,API 返回格式异常，无法解析,API异常
jVEWUkQ_AVg.aac,为什么我下载了这个现在说话都是唱歌的，我真的绷不住了，我卸载了都还搁那唱。,1,0,唱歌/朗诵,非唱歌/朗诵,Step1排除：变声器吐槽，非主动唱歌。,误判
zccvHlrUXXc.aac,谁能告诉我这个变声器咋关了。啊，我真不行啊。,1,0,唱歌/朗诵,非唱歌/朗诵,变声器吐槽，非主动唱歌，且为日常说话。,误判
dTSTYFD7Cdo.aac,姐姐于静香，哪有你的余静香鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼亲吻亲吻，亲吻亲吻。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7兜底：文本混乱，无法确认是唱歌，疑似吐槽或玩梗，倾向判0。,误判
07w9RV7Dp6c.aac,因为感情。跟踪。你这段情。呼呼。无法圆满却。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7兜底：文本破碎，无法确认是唱歌，倾向判0。,误判
A7xsZutClZs.aac,等到满再美呀，说不清楚话。,1,0,唱歌/朗诵,非唱歌/朗诵,Step4排除+Step7：ASR不通顺，仅两句，节奏不明显。,误判
de7BfNmyCas.aac,糟糕我显得比你早。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7兜底：单句日常说话。,误判
alVogE7Kn2k.aac,这边升起发语音还在唱歌，我听着语音缝补住了啊。,1,0,唱歌/朗诵,非唱歌/朗诵,Step1排除：第三方转述吐槽别人唱歌，非自己唱；Step7兜底判0。,误判
-XzyTIqUxLY.aac,你的心。南起兵。,1,0,唱歌/朗诵,非唱歌/朗诵,ASR极短且无意义，Step7判0。,误判
vQi4Fu55Hxs.aac,到底咋弄啊，求求我，我买了这个变声器弄不回去了。咋弄啊，而且冷的时候还唱歌。,1,0,唱歌/朗诵,非唱歌/朗诵,Step1排除：吐槽变声器效果，非自己唱；Step7判0。,误判
CdvaucV7XpM.aac,其实台下的观众就我一个。是我也看出你有点。,1,0,唱歌/朗诵,非唱歌/朗诵,两句日常说话，无押韵/节奏，Step7判0。,误判
vngtKJICdc4.aac,不如喘口气吧，小大人真心很贵，龟龟不要什么都往心里去。没心没肺才能活得不累，真心很贵，你别逢人就给。感情很重，你别轻易卑微。,1,0,唱歌/朗诵,非唱歌/朗诵,网络鸡汤句，说教式生活道理，无歌词结构，不满足Step3条件，兜底判0。,误判
Q_b0Kib_sV0.aac,客气吧，小大人。真心很贵贵。不要什么都往心里去，没心没肺才能活得不累。真心很贵，你别放任。感情很重，你别轻易卑微。不会有人。,1,0,唱歌/朗诵,非唱歌/朗诵,说教式鸡汤句，押韵但内容为生活道理，无唱歌自述或衬词，兜底判0。,误判
