voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
6DzW9xQc8zc.aac,什么叫做五二零零经常转，一次比一次突破，这还是中国话吗？明明每个字我都认识，组合在一起我怎么就不认识了？,0,1,非提问/互动,提问/互动,Step6：多个疑问句，真心困惑要求解释，无排除规则，判1。,误判
Dwk6fA7eg1M.aac,哈喽哈喽，队友有麦打不打？,1,0,提问/互动,非提问/互动,Step 0.2 组队邀请套词，属于玩梗模板，不是真心提问。,误判
aPIeScdQ9yg.aac,哈喽哈喽，队友有麦打不打呀？,1,0,提问/互动,非提问/互动,组队邀请套词玩梗模板，非真心提问（Step0.2）。,误判
GsPEr6E95-g.aac,我去小报你们的快手能发语音吗？,1,0,提问/互动,非提问/互动,对快手语音功能的元提问/惊呼，归发语音玩（Step0.5）。,误判
kvrDd_bF1vA.aac,你们的快手不能发语音吗？,1,0,提问/互动,非提问/互动,对App功能元提问，非真心内容提问（Step0.5）。,误判
zDNT7Jtnv_s.aac,唉还有谁发不了语音呢，不好意思我可以发。,1,0,提问/互动,非提问/互动,修辞性反问炫耀，非真心提问（Step3）。,误判
gMdX2fo5sPs.aac,宝宝我是极品甜妹音，然后我不小心被蜜蜂蛰成了五百斤，我们见面的时候你不要害怕呀宝宝，你不会嫌弃我吧。,1,0,提问/互动,非提问/互动,甜妹音玩梗反问，属玩梗模板（Step0.8）。,误判
NWSlA0d1x-0.aac,不再依赖姐姐算长大吗？,1,0,提问/互动,非提问/互动,命中Step0玩梗模板第1条：撒娇问句玩梗，不是真心提问。,误判
pR7UHrjc-2E.aac,叫哥哥还是叫老公，小调皮哈哈哈哈哈。,1,0,提问/互动,非提问/互动,疑问句+社交撩骚为核心（Step5），判0。,误判
ID-7OHrjbkg.aac,我真的招了，有没有人帮帮我，真的管不了了。,0,1,非提问/互动,提问/互动,有疑问词'有没有'，真心求助，无排除项，Step6判1。,误判
xb8OhZ5AS6U.aac,向下往后拉，向下往后拉，向下往后拉，向下往后拉，是在吗？,0,1,非提问/互动,提问/互动,Step1命中疑问词'吗'，末尾明确询问是否在线，真心提问，判1。,误判
TDFWLUeG_TQ.aac,怎么发语音呀我不会。,1,0,提问/互动,非提问/互动,对快手App功能的好奇/询问，归发语音玩（Step0.5）,误判
RVk58miZ1_8.aac,为什么不能发在评论区啊我也想看。,1,0,提问/互动,非提问/互动,吐槽式反问，抱怨功能限制，不期待真实回答，判0（Step3.1）。,误判
u5Mi8lltbYs.aac,朱迪为什么我接不了电话呀朱迪，唉急死我了急死我了，唉朱迪朱迪我接不了电话呀朱迪我急死我了唉呀唉。,0,1,非提问/互动,提问/互动,真心询问原因，期待回应，无排除规则命中（Step6）。,误判
H95ygvPKPb4.aac,为什么这个可以发语音。,1,0,提问/互动,非提问/互动,Step 0.5：对快手语音功能的元提问，归发语音玩，不是真心提问。,误判
7CEtrysJbgw.aac,你们可以支持一下新作品吗啊？,0,1,非提问/互动,提问/互动,Step 6：真心请求支持，期待回应，无排除规则命中，判1。,误判
xZn6cJkKSGg.aac,你们可有？,1,0,提问/互动,非提问/互动,Step7：ASR极短且语义模糊，兜底判0。,误判
