voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
6DzW9xQc8zc.aac,什么叫做五二零零经常转，一次比一次突破，这还是中国话吗？明明每个字我都认识，组合在一起我怎么就不认识了？,1,0,观点表达,非观点表达,Step1：无观点标记词/判断主张词/信任劝告词，直接判0。,误判
W-AWRfGm6oU.aac,闺蜜你还怪聪明的嘞，按都不按下。,1,0,观点表达,非观点表达,Step1：无观点标记词，直接判0。,误判
107avBWwuJ4.aac,欢迎我啊呸，恭喜我成为尊贵的内测用户，你们好像不可以等后期全网都有吧，告诉了啊，然后你就可以看到一波发两波发。,1,0,观点表达,非观点表达,Step1：无观点标记词/判断主张词，直接判0。,误判
vCJa-K2Q560.aac,嗯一直转圈，仿佛不是自己在操控自己。,1,0,观点表达,非观点表达,Step1：无观点标记词/判断主张词，直接判0。,误判
6ELzi5h0C88.aac,对不起老师我近视三百多度没戴眼镜，并且加上我现场的灯光忽暗给看成了绿色，真的很抱歉当时还没看见你的评论。,1,0,观点表达,非观点表达,Step1：无观点标记词/判断主张词，直接判0。,误判
RSj_TbtNOJA.aac,官方我太爱你了，这个东西我最喜欢了哦官方。,1,0,观点表达,非观点表达,无观点标记词，纯夸赞，无独立判断（Step1）,误判
1n770j8D3zs.aac,闺蜜们，我真的尽力了。,1,0,观点表达,非观点表达,Step1：无观点标记词，陈述状态，判0。,误判
XgUfSJx8Wi0.aac,你这个声音肯定夹了呀。,1,0,观点表达,非观点表达,未出现观点标记词列表中的词，根据Step1判0。,误判
5bFLIp3Cawg.aac,不是本来就能吗？,1,0,观点表达,非观点表达,Step1无观点标记词，反问句无具体判断，判0。,误判
3lCJdlp4tWo.aac,呃，这个英语听力的时候，我感觉我自己活到头了，两腿一蹬过去享福去了，老铁们satisfaction。,0,1,非观点表达,观点表达,Step1命中“我感觉”，Step2后有具体判断（活到头了），无排除情况，判1。,误判
CPL-iTjB08o.aac,兄弟们记住啦，俺对抗路的都是甜妹，你们遇到那个不是甜妹那都不是对抗路知道吗？呃对抗路的妹子全都是那么甜妹啊。,0,1,非观点表达,观点表达,Step1命中“记住”；Step2有具体判断（对抗路都是甜妹）；无其他排除情况，判1。,误判
zbQVnWjggp4.aac,看完之后感觉自己活到头了。,1,0,观点表达,非观点表达,Step1：无观点标记词（“感觉”不在列举中），直接判0。,误判
EKUah_aUFvM.aac,其实我感觉哪边的人读这个英文都一样吧，Satisfaction.,0,1,非观点表达,观点表达,Step1命中“其实我感觉”，Step2有具体判断（读音一样），判1。,误判
gaUGEq_M8To.aac,不如喘口气吧小大人，真心很贵贵贵，不要什么都往心里去，没心没肺才能活着不累，真心很贵你别逢人就给，感情很重，你别轻易卑微。,0,1,非观点表达,观点表达,Step1命中“不要”“才能”等判断词；Step2有具体建议；未触发排除规则，Step6判1。,误判
98xTqh8K97k.aac,看的我想笑又想哭的，不知道从哪里来的一股幸福感。,1,0,观点表达,非观点表达,Step1无观点标记词，仅表达感受，判0。,误判
52rQybzlk0U.aac,不如喘口气吧小大人，真心很贵贵贵，不要什么都往心里去，没心没肺才能活得不累，真心很贵你别逢人就给，感情很重，你别轻易卑微。,0,1,非观点表达,观点表达,Step1命中“不要”“才能”；Step2有具体建议；未触发排除规则，Step6判1。,误判
cwLMrkKX4tI.aac,看到有宝宝说改台词，宝宝们，我在发这条作品之前呢，我去翻了一下一些评论区，灵感是来源于原版和改编版的教师版的朱满阳，然后我原本是想先录原版的，但是呢，因为我过几天要做手术，我之前约了一个剧里的假发，但是它一直没有到，然后我又怕自己做造型做的不够好，所以就只能先录一个这个，赶一个末班车。,1,0,观点表达,非观点表达,无观点标记词，纯叙事解释（Step1）。,误判
YSErhYeKT6w.aac,你点开那个键盘，然后上面有一排，你点第一个那个语音就可以发了。,1,0,观点表达,非观点表达,操作指导，无观点标记词（Step1）。,误判
LtCUVaSBTOw.aac,他那个是画的哟。,1,0,观点表达,非观点表达,未出现观点标记词，直接判0（Step1）。,误判
lVIYb8DV0hw.aac,小大人，真心很贵贵贵，不要什么都往心里去，没心没肺才能活得不累，真心很贵，你别逢人就给，感情很重，你别轻易卑微，不如喘口气吧，小大人，真心很贵喂喂，不要什么都往心里去。,0,1,非观点表达,观点表达,命中Step1判断词“不要”“才能”，Step2后有具体建议（别往心里去、别逢人就给等），形成独立判断，非歌词体。,误判
KIrSsd4OW20.aac,可是他连哄都不哄一下。,1,0,观点表达,非观点表达,Step1：无观点标记词，隐含评价但无标记词，判0。,误判
z7tdGOlkqyQ.aac,不是啊我的姐呀，虽然你的腰没有那么瘦吧，但是你的大腿也没有五十三厘米吧，还要胖一些吧，瞅瞅都累成啥样了。,1,0,观点表达,非观点表达,无观点标记词，纯叙述评价，Step1判0,误判
mQqqiZf-nJo.aac,必须这样说，然后把，应该就这样才正宗知道吧，咪咪咪咪。,0,1,非观点表达,观点表达,Step1命中“应该”，Step2后有具体判断“就这样才正宗”，Step3“必须”非口语附和，形成独立观点。,误判
yw_zF1kGnJU.aac,叔，以后你不要偷你儿子的裤子和鞋子来装了，到时候他又发飙了。,0,1,非观点表达,观点表达,Step1命中“不要”，Step2有具体建议，形成独立判断。,误判
lb57AaP0Wlw.aac,真的是这么跟我讲的，千万千万千万千万不要去睡，一定不要去想。,0,1,非观点表达,观点表达,Step1命中“千万不要”“一定不要”，Step2有具体劝告内容，判1。,误判
0dJPGaPBRVM.aac,一定是的哦，那动静一个是个人的，帅哥麻烦问一下皮特家是不是练字的，哦哟，我滚你家，我这是四楼的嘛，窗子外面怎么有个人脑壳，帅哥，这是不是皮特家？这这这不是皮特家，皮特家在皮带夹在楼脚啊，要得，谢谢你了帅哥，一定行的，一定行的。,0,1,非观点表达,观点表达,Step1命中“一定”，Step2有具体判断（“一定是的”“一定行的”），非口语附和，判1。,误判
OoXV-UTa9v4.aac,不是你们这些发语音的声音真这么好听啊我靠。,1,0,观点表达,非观点表达,感叹语气，无观点标记词（Step1）。,误判
fuVF8Iv2Rns.aac,可能这两天高考吧。,0,1,非观点表达,观点表达,Step1命中“可能”，Step2后有具体猜测判断，Step3无需区分，Step4/5排除，判1。,误判
YpJblxh2zEQ.aac,呼哈呼哈呼哈哈哈哈哈呼哈这就根本学不会。,1,0,观点表达,非观点表达,无观点标记词，直接判0（Step1）。,误判
