voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
Uo0_bouLmdY.aac,都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7：文本不满足任何唱歌/朗诵特征，像口语叙述，判0。,误判
AjpO4rOV2Tc.aac,来来来来，卖三明治，卖三明治。,0,1,非唱歌/朗诵,唱歌/朗诵,Step2-1：衬词“来来来来”连续≥3字，判1。,误判
byKKpbf9WoY.aac,我在你面前也想与你共同寻觅苍茫。在每个黑夜里孤单夜里我会想起了回忆。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7：虽有意境，但句式不整齐，无押韵重复，默读不强制节拍，判0。,误判
QqmwcI18e5I.aac,嗯。嗯嗯，来来来瞧一瞧，看一看了，内蒙古羊肉串，一块钱一串，一块钱一串，买不了吃亏买不了上当。,0,1,非唱歌/朗诵,唱歌/朗诵,Step3命中：带货口播但押韵节奏化如顺口溜，且重复'一块钱一串'。,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,唱歌/朗诵,非唱歌/朗诵,吐槽别人唱歌，非自述，无歌词特征。,误判
Nd0yxPcUFGE.aac,哈喽everybody。sorry，我不喜欢女孩，sorry我不会哄男孩。,1,0,唱歌/朗诵,非唱歌/朗诵,简单自我介绍，虽有押韵倾向但属日常表达，非歌词。,误判
j-hA5GerIq4.aac,不如喘口气吧，小大声。,1,0,唱歌/朗诵,非唱歌/朗诵,普通聊天，无唱歌/朗诵特征，Step7兜底判0。,误判
HuWeWsDAwUI.aac,没有任何意义，其实你根本没爱过我老太公by luck。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7: 句式不整齐，后半段像乱码，无歌词节奏，判0。,误判
qEVohNqYAT0.aac,下辈子我一定还要和你成个家。,1,0,唱歌/朗诵,非唱歌/朗诵,单句抒情，无衬词、无节奏化重复，默读像普通说话，符合Step7兜底。,误判
XgYO7x1Hf_g.aac,三明治，三明治，新鲜的三明治嘞。,0,1,非唱歌/朗诵,唱歌/朗诵,重复+押韵节奏化叫卖，符合Step3带货口播节奏像顺口溜。,误判
9nlseitqL7U.aac,居然给你背高在拼什么背好收集钞票，今天还有大金链完没中，咦。嘿嘿，我把我爸的保险姐都输了，那你妈呢，我妈气饱了，拜拜，我的身体会真的太快了。你刚才带我主播呢。,1,0,唱歌/朗诵,非唱歌/朗诵,杂乱吐槽，无衬词/节奏，Step7兜底。,误判
M6qHVQUPsxM.aac,向上向上，向上，向上向上。挣钱。,0,1,非唱歌/朗诵,唱歌/朗诵,重复+短句整齐，节奏化口号，满足Step5组合（条件1和7）判1。,误判
nqOgtgFzzXk.aac,啊啊。OK，可离合呀，好棒。,1,0,唱歌/朗诵,非唱歌/朗诵,语气词加普通评论，无节奏复现，Step7判0。,误判
HOMfOV58Bvc.aac,泪水打湿火鸡面，发誓从此不相见。,1,0,唱歌/朗诵,非唱歌/朗诵,押韵但为网络搞笑梗，落点非抒情，Step3强制排除，Step7判0。,误判
PEFk2hJhQQE.aac,新疆的猫叫彬彬，他不来不信你听。咪咪咪咪咪咪。调皮给他妈喊过来你听啊。回来啦。,0,1,非唱歌/朗诵,唱歌/朗诵,"Step2命中：同一衬词""咪""连续6个字，非笑声/语气词，故判1。",误判
7yugIQb-_04.aac,感情里的怪她，有蝴蝶就不敢答。,1,0,唱歌/朗诵,非唱歌/朗诵,仅一句押韵，不满足短句整齐+密集诗化词，Step3未命中，Step7判0。,误判
04n-2RiYBaQ.aac,感情里的怪卡，有铺垫就不尴尬。,1,0,唱歌/朗诵,非唱歌/朗诵,短句但无押韵/诗化，更像是普通感慨，未命中Step1-6，判0。,误判
kTJy-zMCbsI.aac,不如穿口气吧，小大人真心很贵。,1,0,唱歌/朗诵,非唱歌/朗诵,普通句子，无节奏/押韵特征，判0。,误判
jVEWUkQ_AVg.aac,为什么我下载了这个现在说话都是唱歌的，我真的绷不住了，我卸载了都还搁那唱。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7：吐槽他人唱歌，非自唱。,误判
zccvHlrUXXc.aac,谁能告诉我这个变声器咋关了。啊，我真不行啊。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7：普通询问和感慨。,误判
07w9RV7Dp6c.aac,因为感情。跟踪。你这段情。呼呼。无法圆满却。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7：碎片化无节奏，语气词“呼呼”不构成衬词，整体不连贯。,误判
A7xsZutClZs.aac,等到满再美呀，说不清楚话。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7：短句但无押韵/节奏，ASR可能错误，但无歌词特征。,误判
de7BfNmyCas.aac,糟糕我显得比你早。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7：单句日常感慨，无节奏复现。,误判
alVogE7Kn2k.aac,这边升起发语音还在唱歌，我听着语音缝补住了啊。,1,0,唱歌/朗诵,非唱歌/朗诵,第三方转述，无唱歌自述，无衬词/歌词特征（Step1排除）,误判
-XzyTIqUxLY.aac,你的心。南起兵。,1,0,唱歌/朗诵,非唱歌/朗诵,极短且语义不通，无节奏特征（Step7兜底）,误判
vQi4Fu55Hxs.aac,到底咋弄啊，求求我，我买了这个变声器弄不回去了。咋弄啊，而且冷的时候还唱歌。,1,0,唱歌/朗诵,非唱歌/朗诵,叙述抱怨，提及唱歌但非自己在唱，无衬词（Step1排除）,误判
CdvaucV7XpM.aac,其实台下的观众就我一个。是我也看出你有点。,1,0,唱歌/朗诵,非唱歌/朗诵,仅两句，无押韵/衬词/整齐结构，不满足歌词判定（Step3、5未命中）,误判
L7Cl0AGB3Lw.aac,新疆猫叫咪咪，他不来。你听咪咪咪咪咪。叫死皮克，马上过来，哎贴。speak speak。来撕这个，来跳个舞，撕开撕开撕开撕开撕开撕开。啊。,0,1,非唱歌/朗诵,唱歌/朗诵,Step2：衬词“咪咪咪咪咪”连续≥3字，且“撕开”重复多次，节奏感强。,误判
5cSCQqTtz4M.aac,这歌变神奇。发云还在唱歌。我听着雨音缝补出来。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7：评论他人唱歌，自身无歌词特征。,误判
HrR6HmmZmnk.aac,周娘给你分儿个枪，匹马奔儿啊，手机上不了奔驰，今天还有那些拿。,0,1,非唱歌/朗诵,唱歌/朗诵,ASR错但节奏像歌词，短句整齐，有古风词，Step4命中判1,误判
xPwRlXWUTmg.aac,白娘娘。,0,1,非唱歌/朗诵,唱歌/朗诵,经典歌词短句，抒情押韵，Step3命中判1,误判
HH0PnHcI5_w.aac,特别的爱给特别的你。,0,1,非唱歌/朗诵,唱歌/朗诵,明显歌词，排比押韵，抒情意境，Step3命中判1,误判
KD6cVf2I-8U.aac,没有任何意义，只是你刚来过，我不懂得崇拜。在此刻我写了这首歌，其实没有什么舍不得，只是眼睛算。,1,0,唱歌/朗诵,非唱歌/朗诵,普通问话，无节奏歌词特征，Step7兜底判0,误判
woeYM7ged0Q.aac,挣百万，挣百万，挣到百万就亏钱。,0,1,非唱歌/朗诵,唱歌/朗诵,重复短句，押韵，像顺口溜/rap，符合Step3。,误判
hXPceLDPsvg.aac,咕咕喳喳。咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕。,0,1,非唱歌/朗诵,唱歌/朗诵,Step2条件1：同一衬词“咕”连续重复多次，符合唱歌衬词特征。,误判
J-WwgFY7Xzk.aac,这歌变声器发语音还在唱歌，我听着语音绷不住了。,1,0,唱歌/朗诵,非唱歌/朗诵,吐槽他人唱歌，非自述唱歌，无衬词歌词化，Step7判0。,误判
_WFecFjxoDs.aac,我也愿意和你比划当初的情话。,1,0,唱歌/朗诵,非唱歌/朗诵,单句，无短句整齐、押韵等歌词特征，Step7判0。,误判
MaHBDHrllAc.aac,呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呀呵呀。,1,0,唱歌/朗诵,非唱歌/朗诵,笑声字重复，强制排除；无其他特征，Step7判0。,误判
Uv92nlKE17k.aac,谁能告诉我。这个变声器咋换呐，我真不行了。,1,0,唱歌/朗诵,非唱歌/朗诵,普通吐槽对话，无唱歌特征，Step7兜底判0。,误判
fXZzmY3PvA8.aac,不如穿口气吧，小大人真心狠鬼鬼鬼。不要什么都往心里去，没心没肺才能活得不累，真心很贵。,1,0,唱歌/朗诵,非唱歌/朗诵,“鬼鬼鬼”非标准衬词；后半句说教无节奏，整体不满足SOP规则，Step7判0。,误判
aUhEfZcXfuA.aac,这条街如奔高手机呀奔跑。手机钞票本视频太好了吧。,1,0,唱歌/朗诵,非唱歌/朗诵,前半似歌词但后半吐槽，整体无节奏无押韵，Step7判0。,误判
TwfwFBRJ4lw.aac,学歌变声器发语音还在唱歌，我听着语音封不住了。,1,0,唱歌/朗诵,非唱歌/朗诵,第三方吐槽别人唱歌，非自述，Step1排除，Step7判0。,误判
ygdNzJnp3rU.aac,真的好崩溃呀，一发语音就唱歌。我是真的没招了。,1,0,唱歌/朗诵,非唱歌/朗诵,吐槽别人唱歌，非自述，Step1排除，Step7判0。,误判
yDnAkRJqpMk.aac,不如穿口气吧，小大人真心好乖乖乖，不要什么都往心里去，没心没肺才能活得不累。张新贵你别烦人就给。,1,0,唱歌/朗诵,非唱歌/朗诵,劝慰话语，无节奏无押韵，Step7判0。,误判
B12t24L-gKQ.aac,posh me and don't posh me you。what a get my stadesfection。,1,0,唱歌/朗诵,非唱歌/朗诵,英文无节奏感，无特征，Step7判0。,误判
5ZoVnrye6aQ.aac,等到满最美呀。说不清楚话。,1,0,唱歌/朗诵,非唱歌/朗诵,仅一句疑似歌词，无押韵重复，无衬词，默读不自然，Step5组合不足，判0。,误判
-QFTtoyyS0s.aac,天生气发语音还在唱歌，我听着语音绷不住了啊。,1,0,唱歌/朗诵,非唱歌/朗诵,第三方转述别人唱歌，非自述，排除Step1，Step7判0。,误判
DFP5IyfKu7Q.aac,这个变声器发语音还在唱歌，我听着语音绷不住了。,1,0,唱歌/朗诵,非唱歌/朗诵,第三方转述，非自唱，Step7判0。,误判
