voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
WuXf5Bg1K2o.aac,中奖概率倍儿高，奖品验码倍儿好，手机钞票，奔驰金票，还有大金老停，中奖倍儿低。倍儿高奖品也好，倍儿好，手机钞票，奔驰金枪，还有大金刚完美中。,1,0,唱歌/朗诵,非唱歌/朗诵,Step4：属于商品介绍/口播，重复结构但无歌词化节奏，整体像普通说话。,误判
Uo0_bouLmdY.aac,都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,1,0,唱歌/朗诵,非唱歌/朗诵,Step4：语义不通顺，但无节奏感，像普通说话或ASR错误，非唱歌。,误判
T1tXGprk8bw.aac,泪水打湿数据线，我去好像会倒电。,0,1,非唱歌/朗诵,唱歌/朗诵,两句押韵（线、电），短句整齐，节奏感强，符合Step3。,误判
7m4utLn0EY0.aac,奥特曼飞得慢，飞到凌晨三点半。,0,1,非唱歌/朗诵,唱歌/朗诵,两句押韵（慢、半），短句整齐，节奏感强，符合Step3。,误判
s5c26pF9vwo.aac,网恋被骗18块，从此分心不再。,0,1,非唱歌/朗诵,唱歌/朗诵,Step3：短句整齐、押韵，节奏感强，像rap/顺口溜。,误判
cpqnl5U8wYU.aac,这歌变神奇。发音还在唱歌。我听着语音缝补出来。,0,1,非唱歌/朗诵,唱歌/朗诵,Step1：文本明确表达唱歌相关含义（发音还在唱歌）。,误判
Nd0yxPcUFGE.aac,哈喽everybody。sorry，我不喜欢女孩，sorry我不会哄男孩。,1,0,唱歌/朗诵,非唱歌/朗诵,Step4：普通聊天，无节奏无歌词特征。,误判
ilhbM-ODuhU.aac,你要去下去。哼哼哼哼哼哼哼哼哼哼。放松，放松放松。,0,1,非唱歌/朗诵,唱歌/朗诵,Step2：连续衬词“哼哼哼哼”≥3字，且重复“放松”有节奏感。,误判
j-hA5GerIq4.aac,不如喘口气吧，小大声。,1,0,唱歌/朗诵,非唱歌/朗诵,普通说话，无唱歌自述、衬词或歌词结构，符合Step4。,误判
Cejfrx3brrk.aac,哼哼哼。我不。,0,1,非唱歌/朗诵,唱歌/朗诵,同一衬词“哼哼哼”连续≥3字，符合Step2-1。,误判
3Y9oElNxNOg.aac,特别神奇，发育音还在唱歌。我听着语音蹦不出了啊。,0,1,非唱歌/朗诵,唱歌/朗诵,Step1：文本明确提到“唱歌”，属于唱歌自述。,误判
s5UeFIGYrH0.aac,着歌变声器发语音还在唱歌，我听着语音绷不住了。,0,1,非唱歌/朗诵,唱歌/朗诵,Step1：文本明确提到“唱歌”，属于唱歌自述。,误判
RaJlAec9uVM.aac,泪水打湿养浴吧，又麻又辣又想她。,0,1,非唱歌/朗诵,唱歌/朗诵,Step3：两句押韵（吧/她），短句整齐，像歌词。,误判
HuWeWsDAwUI.aac,没有任何意义，其实你根本没爱过我老太公by luck。,1,0,唱歌/朗诵,非唱歌/朗诵,Step4：单句表达，无整齐节奏，像普通说话。,误判
qEVohNqYAT0.aac,下辈子我一定还要和你成个家。,1,0,唱歌/朗诵,非唱歌/朗诵,单句文艺表达，无节奏重复或衬词，属于普通说话（Step4）。,误判
uRW5wqxS01I.aac,啊啊啊。,0,1,非唱歌/朗诵,唱歌/朗诵,同一衬词连续≥3字（Step2）。,误判
9nlseitqL7U.aac,居然给你背高在拼什么背好收集钞票，今天还有大金链完没中，咦。嘿嘿，我把我爸的保险姐都输了，那你妈呢，我妈气饱了，拜拜，我的身体会真的太快了。你刚才带我主播呢。,1,0,唱歌/朗诵,非唱歌/朗诵,内容混乱，像吐槽叙述，节奏散乱（Step4）。,误判
yRIIdlBvFuE.aac,啊啊。哈哈哈哈。哎。哈哈哈。,0,1,非唱歌/朗诵,唱歌/朗诵,连续衬词“哈哈哈哈”≥3字（Step2）。,误判
nqOgtgFzzXk.aac,啊啊。OK，可离合呀，好棒。,1,0,唱歌/朗诵,非唱歌/朗诵,“啊啊”仅两字，后为普通感叹说话（Step2不满足，Step4）,误判
T7_9EnjS-gc.aac,中奖概率倍儿高，奖品野马跟儿好。嗯哎，不会唱了。,1,0,唱歌/朗诵,非唱歌/朗诵,前两句像顺口溜但后接说话，整体为口播吐槽（Step4）,误判
wQP8yhbMpO8.aac,呵，好呵，好，呵呵呵。,0,1,非唱歌/朗诵,唱歌/朗诵,连续衬词“咪咪咪咪咪咪”≥3字，命中Step2。,误判
7yugIQb-_04.aac,感情里的怪她，有蝴蝶就不敢答。,1,异常,唱歌/朗诵,解析错误,返回结果数量不足（期望20条，实际19条）,API异常
LFah2yi8H8g.aac,吼吼吼吼吼吼吼吼吼吼吼。,0,1,非唱歌/朗诵,唱歌/朗诵,同一衬词连续≥3字，符合Step2.1。,误判
04n-2RiYBaQ.aac,感情里的怪卡，有铺垫就不尴尬。,1,0,唱歌/朗诵,非唱歌/朗诵,Step4：单句文艺表达，无节奏感，不满足歌词化结构。,误判
