voice_resource_id,voice_asr_text,true_label,pred_label,true_label_name,pred_label_name,pred_reason,error_type
Uo0_bouLmdY.aac,都想盖绿板，刚好下面也麻烦哦，手机钞票，奔驰天涯，还有大天龙。,1,0,唱歌/朗诵,非唱歌/朗诵,文本不连贯，无对仗/押韵/节奏特征，不满足歌词或喊麦结构，判0。,误判
byKKpbf9WoY.aac,我在你面前也想与你共同寻觅苍茫。在每个黑夜里孤单夜里我会想起了回忆。,1,0,唱歌/朗诵,非唱歌/朗诵,仅两句，无押韵/排比，节奏不明确，不满足≥3条组合，判0。,误判
7nN60fyeUAU.aac,哎呀，嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟嘟。儿子，儿子，儿子奶奶奶奶奶奶奶奶奶奶。干嘛呢？,1,0,唱歌/朗诵,非唱歌/朗诵,衬词“嘟嘟嘟”后接日常呼唤，无歌词结构，整体为逗孩子说话。,误判
dgqWNKcohoY.aac,你说你有点难追，想让我知难而退。,1,0,唱歌/朗诵,非唱歌/朗诵,引用歌词名句，仅2句，无唱歌自述或衬词，属日常引用。,误判
B-oe20mUulw.aac,你的酒馆对我打了烊。,1,0,唱歌/朗诵,非唱歌/朗诵,仅单句，不满足≥2句要求，无其他唱歌特征，判0。,误判
cgwDTpD3i1A.aac,当当当当当。,1,0,唱歌/朗诵,非唱歌/朗诵,单字重复（拟声词），无法确认功能，且仅单句，Step7判0,误判
hZYCXX4-PJw.aac,我真的好崩溃啊。你发语音就唱歌，我是真的没招惹。,1,0,唱歌/朗诵,非唱歌/朗诵,抱怨他人唱歌，非自己主动唱，Step1排除，Step7判0,误判
Nd0yxPcUFGE.aac,哈喽everybody。sorry，我不喜欢女孩，sorry我不会哄男孩。,1,0,唱歌/朗诵,非唱歌/朗诵,日常说话/玩梗，无节奏或歌词结构，Step7判0,误判
j-hA5GerIq4.aac,不如喘口气吧，小大声。,1,0,唱歌/朗诵,非唱歌/朗诵,单句日常感慨，无歌词结构，Step7兜底判0。,误判
HuWeWsDAwUI.aac,没有任何意义，其实你根本没爱过我老太公by luck。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7判0：单句，无法确认歌词结构。,误判
qEVohNqYAT0.aac,下辈子我一定还要和你成个家。,1,0,唱歌/朗诵,非唱歌/朗诵,单句日常感慨，无歌词结构特征，未命中任何规则，Step7兜底判0。,误判
9nlseitqL7U.aac,居然给你背高在拼什么背好收集钞票，今天还有大金链完没中，咦。嘿嘿，我把我爸的保险姐都输了，那你妈呢，我妈气饱了，拜拜，我的身体会真的太快了。你刚才带我主播呢。,1,0,唱歌/朗诵,非唱歌/朗诵,混乱聊天内容，无歌词结构，Step7判0。,误判
5Oq3dNUGQbo.aac,家人真心喊贵乖乖。不要什么都往心里去，没心没肺才能活得不累。真心很贵，你别放任性。感情很重，你别轻易卑微。,1,0,唱歌/朗诵,非唱歌/朗诵,网络鸡汤句，说教式感慨，无具体抒情意象，排除歌词，Step7判0。,误判
nqOgtgFzzXk.aac,啊啊。OK，可离合呀，好棒。,1,0,唱歌/朗诵,非唱歌/朗诵,Step7兜底：语气词+日常评价，无歌词结构。,误判
T7_9EnjS-gc.aac,中奖概率倍儿高，奖品野马跟儿好。嗯哎，不会唱了。,1,0,唱歌/朗诵,非唱歌/朗诵,Step3强制排除：两句押韵但为促销语，非抒情；后续表明未唱歌，判0。,误判
HOMfOV58Bvc.aac,泪水打湿火鸡面，发誓从此不相见。,1,0,唱歌/朗诵,非唱歌/朗诵,Step3强制排除：网络押韵梗，两句内容荒诞搞笑，非真实抒情。,误判
NeV9Yr5F_uE.aac,不如穿口气吧，小大人真心很乖乖乖，不要什么都往心里去，没心没肺才能活的不累。真心很贵，你别逢人就给。,1,0,唱歌/朗诵,非唱歌/朗诵,网络鸡汤句，内容说教劝诫，无抒情意象，强制排除（Step3排除，Step7判0）。,误判
7yugIQb-_04.aac,感情里的怪她，有蝴蝶就不敢答。,1,0,唱歌/朗诵,非唱歌/朗诵,仅1句，虽疑似歌词但不足2句，无法确认（Step4排除，Step7判0）。,误判
04n-2RiYBaQ.aac,感情里的怪卡，有铺垫就不尴尬。,1,0,唱歌/朗诵,非唱歌/朗诵,单句网络押韵梗，无衬词/自述，Step3排除，Step7判0。,误判
